Rang;Type de document;Prêts;Titre;Auteur
249;Bande dessinée jeunesse;1328;Le gardien [Texte imprimé];Sobral, Patrick
254;Revue adulte;1307;Art press [texte imprimé];
257;Revue adulte;1294;Classica [multimédia multisupport];
261;Bande dessinée jeunesse;1278;Lili est désordre [Texte imprimé];Saint Mars, Dominique de
265;Bande dessinée jeunesse;1255;Les parents de Zoé divorcent [Texte imprimé];Saint Mars, Dominique de
268;Bande dessinée ado;1254;Titeuf et le derrière des choses [Texte imprimé];Zep
269;Bande dessinée jeunesse;1254;Le cousin de Max et Lili se drogue [Texte imprimé];Saint Mars, Dominique de
271;Bande dessinée adulte;1253;Obélix et compagnie [Texte imprimé];Goscinny, René
272;Revue adulte;1250;Problèmes économiques [texte imprimé] : sélection de presse française et internationale;
275;Bande dessinée adulte;1245;La grande traversée [Texte imprimé];Goscinny, René
285;Revue jeunesse;1213;J'AIME LIRE 2009 [Texte imprimé];
286;Bande dessinée jeunesse;1211;Les schtroumpfeurs de flûte [Texte imprimé];Peyo
287;Nouveauté;1208;Rien ne s'oppose à la nuit : roman;Vigan, Delphine de
298;Livre jeunesse;1190;Allez, les monstres ! [Texte imprimé];Cohen, Jacqueline
311;Bande dessinée jeunesse;1134;Le ciel lui tombe sur la tete [Texte imprimé];Uderzo, Albert
312;Bande dessinée jeunesse;1128;Max n'aime pas perdre [Texte imprimé];Saint Mars, Dominique de
318;Livre jeunesse;1116;Et que ça saute ! [Texte imprimé];Cohen, Jacqueline
320;Bande dessinée adulte;1113;L'odyssée d'Astérix [Texte imprimé];Uderzo, Albert
324;Bande dessinée jeunesse;1100;Les Schtroumpfs et l'arbre d'or;Culliford, Thierry
325;Bande dessinée jeunesse;1099;Dark, j'adore ! [Texte imprimé];Midam
340;Bande dessinée jeunesse;1061;La rentrée des crasses [Texte imprimé];Coppée, Thierry
342;Bande dessinée jeunesse;1053;Bonjour les cadeaux ! [Texte imprimé];Cohen, Jacqueline
343;Bande dessinée jeunesse;1051;Vivement les vacances ! [Texte imprimé];Godi, Bernard
346;Bande dessinée jeunesse;1047;Max veut se faire des amis [Texte imprimé];Saint-Mars, Dominique de
349;Bande dessinée jeunesse;1039;L'apprenti schtroumpf [Texte imprimé];Peyo
350;Bande dessinée jeunesse;1038;Schtroumpf vert et vert schtroumpf [Texte imprimé];Peyo
356;Bande dessinée jeunesse;1028;Le bébé schtroumpf [Texte imprimé];Peyo
357;Bande dessinée jeunesse;1022;Dégâts à gogo ! [Texte imprimé];Cohen, Jacqueline
378;Livre jeunesse;982;Barbapapa [Texte imprimé];Tison, Annette
386;Bande dessinée jeunesse;965;Le King [Texte imprimé];Davis, Jim
388;Bande dessinée jeunesse;958;La soupe aux schtroumpfs [Texte imprimé];Peyo
389;Bande dessinée jeunesse;956;Le Roi des cancres [Texte imprimé];Godi, Bernard
391;Bande dessinée jeunesse;954;Le fortiche de la triche [Texte imprimé];Godi, Bernard
394;Bande dessinée jeunesse;953;La lutte des classes [Texte imprimé];Godi, Bernard
399;Livre jeunesse;943;Les vacances de Barbapapa [Texte imprimé];Tison, Annette
410;Livre jeunesse;927;Max a triché [Texte imprimé];Saint Mars, Dominique de
411;;924;Une année studieuse;Wiazemsky, Anne
419;Bande dessinée ado;913;Pour qui tu te prends ? [Texte imprimé];Delaf
436;Livre jeunesse;886;La maison de Barbapapa [Texte imprimé];Tison, Annette
437;Livre jeunesse;886;Bébés chouettes [Texte imprimé];Waddell, Martin
440;Bande dessinée jeunesse;881;Le Crabe aux pinces d'or [Texte imprimé];Hergé
444;Livre jeunesse;870;Max et les Maximonstres [Texte imprimé];Sendak, Maurice
448;Bande dessinée jeunesse;867;Un amour de potache [Texte imprimé];Godi, Bernard
450;Bande dessinée jeunesse;864;Chantier interdit [Texte imprimé];Pommaux, Yvan
453;Bande dessinée jeunesse;861;Enquete d'amour [Texte imprimé];Pommaux, Yvan
456;Bande dessinée jeunesse;859;L'étrange réveil du Schtroumpf paresseux [Texte imprimé];Peyo
460;Bande dessinée ado;853;J'irai voir Venise [Texte imprimé];Lyfoung, Patricia
462;;853;La rose écarlate. 7. Tu seras toujours à moi;Lyfoung, Patricia
466;Livre adulte;850;L'enfant allemand;Läckberg, Camilla
468;Bande dessinée jeunesse;842;Le grand fossé [Texte imprimé];Uderzo, Albert
469;Bande dessinée adulte;839;Le temple du soleil [Texte imprimé];Hergé
471;Livre sonore jeunesse;834;L'anniversaire de Coco [Multimédia multisupport];Du Bouchet, Paule
488;Livre jeunesse;820;Le géant de Zéralda [Texte imprimé];Ungerer, Tomi
