Rang;Type de document;Prêts;Titre;Auteur
509;Bande dessinée jeunesse;804;Au coeur du maelström;Vehlmann, Fabien
511;Bande dessinée jeunesse;803;Une jolie vache [Texte imprimé];Guibert, Emmanuel
512;Livre jeunesse;801;Le théâtre de Barbapapa [Texte imprimé];Tison, Annette
513;Bande dessinée adulte;801;Astérix chez les Belges [Texte imprimé];Goscinny, René
518;Bande dessinée jeunesse;797;On revasse ? [Texte imprimé];Cauvin, Raoul
524;Livre adulte;791;Un lieu incertain [Texte imprimé];Vargas, Fred
526;Livre jeunesse;788;L'élixir de jouvence;Gilson, François
530;Bande dessinée adulte;784;Fairy Tail. 16;Mashima, Hiro
531;Livre adulte;783;Une femme fuyant l'annonce : roman;Grossman, David
535;Revue adulte;781;Rustica hebdo [texte imprimé];
543;Bande dessinée jeunesse;774;A l'école des maléfices [Texte imprimé];Gilson, François
545;Nouveauté;773;Les neuf dragons : une enquête de Harry Bosch : roman;Connelly, Michael
546;Nouveauté;772;L'homme inquiet;Mankell, Henning
548;Bande dessinée jeunesse;766;Aya de Yopougon. 6;Abouet, Marguerite
549;Bande dessinée jeunesse;765;Bienvenue au club ! [Texte imprimé];Cohen, Jacqueline
553;Bande dessinée ado;763;Fairy Tail. 6;Mashima, Hiro
554;Bande dessinée jeunesse;761;Les schtroumpfs joueurs [Texte imprimé];Parthoens, Luc
556;Livre adulte;760;La princesse des glaces [Texte imprimé] : roman;Läckberg, Camilla
565;Nouveauté;751;La tristesse du samouraï [Texte imprimé] : roman;Arbol, Victor del
569;Bande dessinée adulte;748;Le bouclier arverne [Texte imprimé];Goscinny, René
570;Bande dessinée jeunesse;748;Ballet enchanté [Texte imprimé];Gilson, François
572;Bande dessinée ado;748;Fairy Tail. 2 [Texte imprimé];Mashima, Hiro
573;Nouveauté;748;Purge;Oksanen, Sofi
577;Nouveauté;745;Faute de preuves;Coben, Harlan
580;Bande dessinée jeunesse;742;Chat académie [Texte imprimé];Davis, Jim
582;Bande dessinée ado;740;Fairy Tail. 8;Mashima, Hiro
598;Bande dessinée jeunesse;731;280 de Q.I. ! [Texte imprimé];Godi, Bernard
847;Revue adulte;612;SVM Mac [texte imprimé];
850;Livre adulte;612;La liste de mes envies;Delacourt, Grégoire
861;Livre jeunesse;607;Le chantier [Texte imprimé];Ledu, Stéphanie
871;CD jeunesse;605;Coco et le poisson Ploc [Enregistrement sonore];Du Bouchet, Paule
875;CD jeunesse;604;Comptines des animaux de la ferme [Multimédia multisupport];Prual, Yves
876;Nouveauté;604;Mémoire morte [Texte imprimé];Westlake, Donald E.
976;Livre adulte;570;Le léopard;Nesbo, Jo
977;Livre sonore jeunesse;570;Comptines pour chanter la ferme [Multimédia multisupport];Hudrisier, Cécile
980;Livre jeunesse;569;Le requin;Fuhr, Ute
986;Livre jeunesse;565;Le déjeuner de la petite ogresse [Texte imprimé];Vaugelade, Anaïs
988;Livre jeunesse;564;Okilélé [Texte imprimé];Ponti, Claude
989;Bande dessinée adulte;564;Poulet aux prunes [Texte imprimé];Satrapi, Marjane
998;Livre jeunesse;560;Mille secrets de poussins [Texte imprimé];Ponti, Claude
1000;Bande dessinée jeunesse;560;Le bouclier arverne [Texte imprimé];Goscinny, René
620;Bande dessinée ado;717;Tout est bon dans le garçon ! [Texte imprimé];Darasse
626;Livre adulte;715;Le pacte;Kepler, Lars
627;Livre adulte;714;Le prince de la brume;Ruiz Zafón, Carlos
630;Bande dessinée jeunesse;712;Alerte à la plantaline [Texte imprimé];Pommaux, Yvan
642;Bande dessinée jeunesse;705;Comme sur des roulettes [Texte imprimé];Laudec
647;Bande dessinée ado;703;Naruto. 4 [Texte imprimé];Kishimoto, Masashi
648;Bande dessinée ado;703;Naruto. 24 [Texte imprimé];Kishimoto, Masashi
665;Bande dessinée jeunesse;697;La Belle et La Bête [Texte imprimé];Gilson, François
667;Bande dessinée jeunesse;696;Parasite sur canapé [Texte imprimé];Laudec
670;Livre adulte;696;Le deuil et l'oubli;Harvey, John
672;Bande dessinée jeunesse;694;Cygne d'étang [Texte imprimé];Laudec
676;Livre jeunesse;693;Roule galette [Texte imprimé];Caputo, Natha
680;Bande dessinée jeunesse;690;Le génie donne sa langue au chat [Texte imprimé];Groot, Bob De
684;Nouveauté;688;Le palais de minuit [Texte imprimé];Ruiz Zafón, Carlos
704;Livre adulte;679;Le prédicateur;Läckberg, Camilla
708;Revue adulte;677;Les Dossiers d'archéologie [texte imprimé];
711;Nouveauté;677;Instinct de survie : une enquête de l'inspecteur McKenzie;Deaver, Jeffery
716;Bande dessinée ado;674;Naruto. 32 [Texte imprimé];Kishimoto, Masashi
718;Livre jeunesse;674;Une soupe au caillou [Texte imprimé];Vaugelade, Anaïs
719;Bande dessinée ado;674;Naruto. 36 [Texte imprimé];Kishimoto, Masashi
731;Bande dessinée ado;670;Le vieux schnock [Texte imprimé];Oda, Eiichiro
736;Bande dessinée ado;669;Naruto. 40;Kishimoto, Masashi
737;Nouveauté;668;La ligne de courtoisie;Fargues, Nicolas
741;Bande dessinée ado;665;Gear [Texte imprimé];Oda, Eiichiro
742;Livre adulte;664;Les hommes qui n'aimaient pas les femmes [Texte imprimé] : roman;Larsson, Stieg
755;Bande dessinée ado;652;Gaston. 4 [Texte imprimé];Franquin, André
769;Revue non empruntable;647;Inazuma eleven. 1;Yabuno, Tenya
776;Bande dessinée ado;642;Le pire brigand de tout East-Blue [Texte imprimé];Oda, Eiichiro
777;Livre jeunesse;642;Le tunnel [Texte imprimé];Browne, Anthony
785;Livre jeunesse;641;Le livre de la nuit [Texte imprimé];Berner, Rotraut Susanne
786;Bande dessinée jeunesse;640;Catastrophe naturelle [Texte imprimé];Bertschy
788;Livre adulte;639;Claustria : roman;Jauffret, Régis
791;Revue adulte;638;Grazia [texte imprimé];
805;Bande dessinée jeunesse;631;Astérix en Corse [Texte imprimé];Goscinny, René
808;Nouveauté;629;Histoire du pied : et autres fantaisies : nouvelles;Le Clézio, Jean-Marie Gustave
815;Bande dessinée jeunesse;626;Le lézard de l'ombre;Derib
824;;623;Quai d'Orsay : chroniques diplomatiques. 2;Lanzac, Abel
832;Livre jeunesse;618;Clic, crac... C'est le loup ? [Texte imprimé];Maubille, Jean
834;Livre adulte;617;La vie très privée de Mr Sim : roman;Coe, Jonathan
840;Bande dessinée jeunesse;615;Calamité à plein temps [Texte imprimé];Bertschy
890;Livre jeunesse;598;La tototte [Texte imprimé];Lindgren, Barbro
892;Nouveauté;597;L'hypnotiseur;Kepler, Lars
896;Bande dessinée jeunesse;596;Oh ! la mer ! [Texte imprimé];Guibert, Emmanuel
898;Bande dessinée ado;595;Gaston. 3 [Texte imprimé];Franquin, André
899;CD jeunesse;595;Mon imagier des amusettes . 2 [Multimédia multisupport] : 16 chansons à gestes pour les tout-petits;Bustarret, Anne
908;Bande dessinée ado;593;Mes amis à poils;Tome
909;Revue adulte;592;Technik'art [texte imprimé] : magazine gratuit de la création;
913;Bande dessinée adulte;591;Furari : au gré du vent;Taniguchi, Jirô
918;Bande dessinée jeunesse;589;Rapt à l'Opéra [Texte imprimé];Pommaux, Yvan
926;Bande dessinée jeunesse;585;Contes de la pleine lune [Texte imprimé];Gilson, François
928;Livre jeunesse;585;Pin-pon !;Mase, Naokata
930;Bande dessinée jeunesse;584;Anatole Latuile [Texte imprimé] : c'est parti !;Didier, Anne
937;Bande dessinée jeunesse;582;Un train d'enfer [Texte imprimé];Pommaux, Yvan
942;Livre jeunesse;581;L'arbre sans fin [Texte imprimé];Ponti, Claude
943;Bande dessinée ado;581;Gaston. 15 [Texte imprimé];Franquin, André
949;;579;Royal romance : roman;Weyergans, François
953;Bande dessinée jeunesse;577;En remontant le Mississipi [Texte imprimé];Morris
954;;577;L'étrange voyage de monsieur Daldry : roman;Lévy, Marc
966;Bande dessinée jeunesse;573;En quête d'amour;Tessier, Grégory
842;Bande dessinée jeunesse;614;Génie du stop;Groot, Bob De
849;Nouveauté;612;La petite fille de ses rêves;Leon, Donna
851;Livre adulte;612;7 ans après...;Musso, Guillaume
854;Bande dessinée adulte;610;Astérix chez les Helvètes [Texte imprimé];Goscinny, René
860;Livre jeunesse;608;La toute petite dame [Texte imprimé];Barton, Byron
864;Bande dessinée adulte;607;La bar-mitsva [Texte imprimé];Sfar, Joann
869;Nouveauté;606;L'inconnue de Birobidjan;Halter, Marek
877;Bande dessinée ado;603;L'homme qui valait cent millions [Texte imprimé];Oda, Eiichiro
879;Livre jeunesse;602;La famille Souris prépare le nouvel an [Texte imprimé];Iwamura, Kazuo
881;Bande dessinée jeunesse;600;Quel cirque ! [Texte imprimé];Verron, Laurent
882;Bande dessinée ado;600;Ace entre en scène [Texte imprimé];Oda, Eiichiro
888;Livre sonore jeunesse;598;Poule rousse [Multimédia multisupport];Lida
897;Bande dessinée jeunesse;596;Il faut éliminer Toxine [Texte imprimé];Sfar, Joann
900;Bande dessinée jeunesse;595;Astérix et Cléopâtre [Texte imprimé];Goscinny, René
902;Bande dessinée jeunesse;594;Karaté ! [Texte imprimé];Guibert, Emmanuel
911;Nouveauté;592;Le système Victoria : roman;Reinhardt, Éric
917;Livre jeunesse;590;Gros pipi;Jadoul, Emile
921;Bande dessinée jeunesse;586;Main du futur [Texte imprimé];Sobral, Patrick
933;Livre jeunesse;583;Non ! [Texte imprimé];Ashbé, Jeanne
935;Livre jeunesse;583;Au lit tout le monde ! [Texte imprimé];Poussier, Audrey
951;Livre jeunesse;578;Le petit cochon tetu [Texte imprimé];Le Craver, Jean-Louis
961;Bande dessinée jeunesse;574;L'étrange rendez-vous [Texte imprimé];Van Hamme, Jean
962;Bande dessinée jeunesse;574;Le retour du lapin magicien [Texte imprimé];Derib
967;;573;Le grand Coeur [Texte imprimé] : roman;Rufin, Jean-Christophe
979;Nouveauté;570;Double identité [Texte imprimé] : roman;Van Cauwelaert, Didier
990;Bande dessinée jeunesse;563;N'oublie pas ta capuche! [Texte imprimé];Tome
991;Bande dessinée ado;563;Naruto. 15 [Texte imprimé];Kishimoto, Masashi
995;Livre jeunesse;561;Mademoiselle Sauve-qui-peut [Texte imprimé];Corentin, Philippe
15;Revue adulte;7016;Que choisir ? [texte imprimé];
19;Revue adulte;6589;60 millions de consommateurs [texte imprimé] : le magazine sans publicité;
20;Revue adulte;6531;Le Point [texte imprimé];
30;Revue jeunesse;4538;Images doc [texte imprimé] : un trésor d'images pour tout savoir;
31;Revue adulte;4397;La Science et la vie [texte imprimé];
35;Revue adulte;4292;Le Figaro magazine [texte imprimé];
36;Revue jeunesse;4200;Wakou [texte imprimé];
38;Revue adulte;4147;Santé magazine [texte imprimé];
39;Revue jeunesse;4095;J'apprends à lire [texte imprimé];
47;Revue jeunesse;3642;Wapiti [texte imprimé] : un oeil futé sur la nature;
49;Revue jeunesse;3517;Youpi [texte imprimé] : le journal des grands curieux de 3 à 7 ans;
52;Revue adulte;3243;M, le nouveau magazine du Monde [Texte imprimé];
53;Revue adulte;3196;Marie-Claire [texte imprimé];
59;Revue adulte;2943;Le Particulier [texte imprimé] : la documentation pratique des particuliers;
60;Revue jeunesse;2895;Tralalire [texte imprimé] : bienvenue dans le monde des histoires : 2-5 ans;
62;Revue jeunesse;2757;D lire [texte imprimé] : 9-13 ans;
67;Revue adulte;2639;Fluide glacial [texte imprimé];
70;Revue adulte;2535;L'Ami des jardins et de la maison [texte imprimé];
76;Revue adulte;2477;Historia [texte imprimé];
78;Revue adulte;2456;Internet pratique [Texte imprimé];
82;Revue jeunesse;2376;Mille et une histoires [texte imprimé] : 3-7 ans;
83;Revue adulte;2362;Vocable [texte imprimé] : espagnol;
84;Revue adulte;2355;Notre temps [texte imprimé];
85;Livre jeunesse;2328;Lili est stressée par la rentrée;Saint-Mars, Dominique de
86;Revue adulte;2307;Time [texte imprimé] : the weekly newsmagazine;
89;Bande dessinée jeunesse;2277;Increvables !;Cohen, Jacqueline
95;Revue adulte;2203;Détours en France [texte imprimé] : paysage, habitat, gastronomie, flore, faune;
101;Revue adulte;2134;Jeune Afrique [texte imprimé] : hebdomadaire africain et international indépendant;
104;Livre jeunesse;2090;Max et lili sont fans de marques [Texte imprimé];Saint-Mars, Dominique de
117;Revue adulte;1954;Causette [Texte imprimé] : plus féminine du cerveau que du capiton;
127;CD jeunesse;1823;Max et Lili se posent des questions sur Dieu [Texte imprimé];Saint Mars, Dominique de
128;Revue adulte;1815;Rock & folk [texte imprimé];
129;Bande dessinée jeunesse;1804;Max et Lili fêtent Noël en famille [Texte imprimé];Saint Mars, Dominique de
137;Bande dessinée jeunesse;1765;Idylles [Texte imprimé];Neel, Julien
141;Bande dessinée jeunesse;1752;Drôle de cirque ! [Texte imprimé];Cohen, Jacqueline
144;Bande dessinée jeunesse;1728;Max ne respecte rien [Texte imprimé];Saint-Mars, Dominique de
148;Bande dessinée jeunesse;1682;Max se trouve nul [Texte imprimé];Saint-Mars, Dominique de
150;Bande dessinée jeunesse;1669;Lili veut un petit chat [Texte imprimé];Saint Mars, Dominique de
151;Bande dessinée jeunesse;1668;Lili veut etre une star [Texte imprimé];Saint Mars, Dominique de
157;Bande dessinée jeunesse;1642;Lili regarde trop la télé [Texte imprimé];Saint Mars, Dominique de
160;Revue adulte;1633;Newsweek [texte imprimé] : international news magazine;
163;Bande dessinée jeunesse;1623;Max est racketté [Texte imprimé];Saint Mars, Dominique de
166;Revue jeunesse;1598;I love english junior [multimédia multisupport] : spécial débutants;
176;Bande dessinée jeunesse;1550;Marlène grignote tout le temps [Texte imprimé];Saint-Mars, Dominique de
180;Bande dessinée jeunesse;1528;Max va à l'hopital [Texte imprimé];Saint Mars, Dominique de
181;Revue jeunesse;1528;Toupie [texte imprimé];
188;Bande dessinée jeunesse;1513;Tremblez, carcasses ! [Texte imprimé];Cohen, Jacqueline
190;Revue adulte;1510;Le Monde des religions [texte imprimé];
202;Bande dessinée jeunesse;1463;Lili est fâchée avec sa copine [Texte imprimé];Saint Mars, Dominique de
203;Bande dessinée jeunesse;1462;Max est dans la lune [Texte imprimé];Saint-Mars, Dominique de
215;Bande dessinée jeunesse;1429;Le réveil du Kréa-Kaos [Texte imprimé];Sobral, Patrick
216;Bande dessinée jeunesse;1426;Grand-père est mort [Texte imprimé];Saint Mars, Dominique de
217;Bande dessinée jeunesse;1420;Salut, les zinzins ! [Texte imprimé];Cohen, Jacqueline
218;Bande dessinée jeunesse;1419;Max et Lili se sont perdus [Texte imprimé];Saint Mars, Dominique de
225;Bande dessinée jeunesse;1400;Ca va chauffer ! [Texte imprimé];Cohen, Jacqueline
233;Revue adulte;1363;L'Auto-journal [texte imprimé] : combat pour l'automobile;
235;Bande dessinée jeunesse;1358;Tom-Tom et l'impossible Nana [Texte imprimé];Cohen, Jacqueline
237;Bande dessinée jeunesse;1354;Lili veut de l'argent de poche [Texte imprimé];Saint Mars, Dominique de
239;Bande dessinée jeunesse;1351;Lili découvre sa Mamie [Texte imprimé];Saint Mars, Dominique de
244;Bande dessinée jeunesse;1335;Coeur du passé [Texte imprimé];Sobral, Patrick
247;Bande dessinée jeunesse;1331;Griffes et plumes [Texte imprimé];Sobral, Patrick
250;Bande dessinée jeunesse;1325;Alex est handicapé [Texte imprimé];Saint Mars, Dominique de
251;Bande dessinée jeunesse;1321;Max décide de faire des efforts;Saint-Mars, Dominique de
259;Livre jeunesse;1290;Max est maladroit [Texte imprimé];Saint-Mars, Dominique de
260;Bande dessinée jeunesse;1280;La pierre de Jovénia [Texte imprimé];Sobral, Patrick
270;Bande dessinée jeunesse;1253;La tribu des affreux [Texte imprimé];Cohen, Jacqueline
279;Bande dessinée jeunesse;1237;Le schtroumpf reporter [Texte imprimé];Parthoens, Luc
280;Bande dessinée jeunesse;1234;L'élève dépasse le mètre;Coppée, Thierry
284;Livre jeunesse;1219;Les blagues de Toto. 7. La classe qui rit;Coppée, Thierry
288;Bande dessinée adulte;1208;Le domaine des dieux [Texte imprimé];Goscinny, René
289;Bande dessinée jeunesse;1207;Aube et crépuscule [Texte imprimé];Sobral, Patrick
290;Nouveauté;1207;Cyanure;Läckberg, Camilla
662;Bande dessinée jeunesse;699;L'artiste peintre [Texte imprimé];Groot, Bob De
664;Bande dessinée adulte;697;Astérix le Gaulois [Texte imprimé];Goscinny, René
673;Bande dessinée jeunesse;694;Superstars [Texte imprimé];Cohen, Jacqueline
682;Bande dessinée ado;689;Naruto. 13 [Texte imprimé];Kishimoto, Masashi
685;Livre jeunesse;687;Le papa qui avait 10 enfants [Texte imprimé];Guettier, Bénédicte
985;Bande dessinée jeunesse;566;Trafics en Afrique [Texte imprimé];Fonteneau, Jean-Louis
503;Bande dessinée jeunesse;806;Classe tous risques [Texte imprimé];Laudec
504;Bande dessinée jeunesse;806;Le petit Spirou. 14. Bien fait pour toi !;Janry
510;Bande dessinée jeunesse;803;Le cimetière des autobus [Texte imprimé];Neel, Julien
519;Bande dessinée adulte;797;Astérix gladiateur [Texte imprimé];Goscinny, René
522;Bande dessinée jeunesse;794;La clandestine;Pommaux, Yvan
532;Revue adulte;782;Etapes [texte imprimé] : graphisme, design, image, création;
538;Bande dessinée jeunesse;778;Mon meilleur ami;Verron, Laurent
540;Nouveauté;776;Jusqu'à la folie : roman;Kellerman, Jesse
541;Bande dessinée ado;775;Fairy Tail. 4;Mashima, Hiro
542;Nouveauté;775;Du domaine des murmures;Martinez, Carole
547;Bande dessinée jeunesse;769;Où est Garfield ? [Texte imprimé];Davis, Jim
561;Livre adulte;755;Fairy Tail. 5;Mashima, Hiro
563;Livre adulte;752;Le passager;Grangé, Jean-Christophe
564;Bande dessinée jeunesse;751;Alerte en classe verte [Texte imprimé];Pommaux, Yvan
568;Nouveauté;749;Les souvenirs;Foenkinos, David
571;Bande dessinée ado;748;Tu dépasses ! [Texte imprimé];Darasse
586;Nouveauté;739;Vertige : thriller;Thilliez, Franck
587;Bande dessinée jeunesse;738;Seuls. 2. Le maître des couteaux [Texte imprimé];Gazzotti, Bruno
588;Livre jeunesse;737;Sur le chantier [Texte imprimé];Barton, Byron
590;Bande dessinée jeunesse;736;C'est la fete ! [Texte imprimé];Davis, Jim
593;Revue adulte;734;"Système D [texte imprimé] : des réalisations à faire soi-même ; [dir. publ. J.P. Ventillard]";
599;Revue jeunesse;731;Dada [texte imprimé] : première revue d'art pour enfants de 6 à 106 ans;
604;Bande dessinée ado;729;Rythme scolaire [Texte imprimé];Pica
606;Bande dessinée ado;727;Combien ? [Texte imprimé];Darasse
615;Bande dessinée jeunesse;721;Malédiction !;Clarke
616;Bande dessinée adulte;721;Fairy Tail. 13;Mashima, Hiro
622;Bande dessinée ado;716;Naruto. 19 [Texte imprimé];Kishimoto, Masashi
625;Bande dessinée adulte;715;Astérix en Hispanie [Texte imprimé];Goscinny, René
629;Bande dessinée ado;712;Gaston. 10 [Texte imprimé];Franquin, André
631;Bande dessinée ado;711;La légende est en marche [Texte imprimé];Oda, Eiichiro
637;Livre jeunesse;708;Bonjour, poussin [Texte imprimé];Ginsburg, Mirra
645;Livre jeunesse;705;Joyeux anniversaire !;Nakagawa, Chihiro
651;Livre jeunesse;702;Mimi va camper [Texte imprimé];Cousins, Lucy
652;Revue adulte;702;Valeurs actuelles [texte imprimé];
659;Bande dessinée ado;699;Sois forte [Texte imprimé];Oda, Eiichiro
695;Livre jeunesse;682;Pour la vie;Corbeyran, Eric
696;Nouveauté;682;La rivière noire;Arnaldur Indridason
705;Bande dessinée adulte;678;Astérix légionnaire [Texte imprimé];Goscinny, René
710;Revue jeunesse;677;Papoum [texte imprimé] : le journal des bébés : le premier journal en forme de maison pour tous les bébés;
717;Livre jeunesse;674;Bonsoir lune [Texte imprimé];Brown, Margaret Wise
720;Revue adulte;674;Rebondir [texte imprimé] : le magazine anti-chômage;
721;Livre jeunesse;673;Mon papa [Texte imprimé];Browne, Anthony
726;Bande dessinée jeunesse;672;Graine de cocker [Texte imprimé];Verron, Laurent
733;Bande dessinée jeunesse;670;Record battu !;Didier, Anne
747;Bande dessinée jeunesse;659;"Docteur génie et Mister ""aïe"" [Texte imprimé]";Groot, Bob De
756;Livre jeunesse;652;Les transports;Gravier, Delphine
758;Bande dessinée ado;651;Aux prises avec baggy et ses hommes ! [Texte imprimé];Oda, Eiichiro
773;Bande dessinée ado;643;Naruto. 18 [Texte imprimé];Kishimoto, Masashi
778;Livre jeunesse;642;Ma maman [Texte imprimé];Browne, Anthony
783;Bande dessinée jeunesse;641;Pizza tomik [Texte imprimé];Guibert, Emmanuel
787;Livre jeunesse;639;Mon pull [Texte imprimé];Poussier, Audrey
789;Bande dessinée ado;638;Tempete sur Saint-Roch [Texte imprimé];Pommaux, Yvan
796;Bande dessinée ado;635;Naruto. 30 [Texte imprimé];Kishimoto, Masashi
797;Bande dessinée ado;635;Gaston. 14 [Texte imprimé];Franquin, André
799;Livre adulte;634;La délicatesse : roman;Foenkinos, David
800;Livre adulte;634;Intermittence;Camilleri, Andrea
801;Nouveauté;633;La femme au miroir;Schmitt, Éric-Emmanuel
809;Nouveauté;629;Tangente vers l'Est;Kerangal, Maylis de
812;Bande dessinée jeunesse;627;Le schtroumpf sauvage [Texte imprimé];Parthoens, Luc
813;;627;La page blanche;Boulet
814;Livre jeunesse;626;Une farce [Texte imprimé];Poussier, Audrey
816;Bande dessinée adulte;626;Habibi;Thompson, Craig
823;Nouveauté;623;Une nuit, sur la mer : roman;MacDonald, Patricia J.
830;Livre jeunesse;618;Où est Charlie ? A Hollywood [Texte imprimé];Handford, Martin
839;Nouveauté;616;Les vaches de Staline;Oksanen, Sofi
841;Bande dessinée ado;615;Naruto. 41;Kishimoto, Masashi
843;;614;Volte-face : roman;Connelly, Michael
855;Bande dessinée jeunesse;609;Zacar et les zacariens [Texte imprimé];Sfar, Joann
859;Livre adulte;608;Les dames de Rome : roman;Chandernagor, Françoise
862;Livre jeunesse;607;Bonne nuit, Spot ! [Texte imprimé];Hill, Eric
865;Bande dessinée jeunesse;606;Astérix légionnaire [Texte imprimé];Goscinny, René
866;Livre jeunesse;606;Un train passe;Crews, Donald
880;Livre adulte;601;Le journal intime d'un arbre;Van Cauwelaert, Didier
883;Bande dessinée ado;599;Gaston. 8 [Texte imprimé];Franquin, André
889;DVD < 13 ans;598;Les aventures des Barbapapa [Images animées];
894;Livre jeunesse;596;Où est Spot, mon petit chien ? [Texte imprimé];Hill, Eric
904;Nouveauté;594;Le ravissement de Britney Spears;Rolin, Jean
915;Bande dessinée ado;590;Naruto. 21 [Texte imprimé];Kishimoto, Masashi
925;Bande dessinée ado;585;Les reves [Texte imprimé];Oda, Eiichiro
931;Nouveauté;584;Le siècle;Follett, Ken
932;Bande dessinée ado;583;Gaston. 6 [Texte imprimé];Franquin, André
946;Bande dessinée jeunesse;580;En roue libre [Texte imprimé];Davis, Jim
952;Bande dessinée jeunesse;578;La flûte à six schtroumpfs [Texte imprimé];Peyo
958;Bande dessinée jeunesse;576;Sang bleu chez les Bleus;Cauvin, Raoul
963;Bande dessinée jeunesse;574;Chocolats et coups fourrés [Texte imprimé];Garray, Pascal
964;Bande dessinée jeunesse;573;Bienvenue en enfer [Texte imprimé];Fonteneau, Jean-Louis
972;Livre jeunesse;571;Le pou et la puce [Texte imprimé] : une histoire;Gay-Para, Praline
973;Livre jeunesse;571;Un livre;Tullet, Hervé
982;Livre jeunesse;568;Guillaume, l'apprenti sorcier [Texte imprimé];Ungerer, Tomi
5;Revue ado;14399;Okapi [texte imprimé];
9;Revue jeunesse;9130;Julie [texte imprimé] : vive les filles : de 8 à 12 ans;
10;Revue jeunesse;9065;Popi [texte imprimé] : dès 1 an;
13;Revue ado;7309;Science & vie junior [texte imprimé];
14;Revue adulte;7215;Le Nouvel observateur [texte imprimé];
7;Revue adulte;9452;Micro hebdo [texte imprimé] : simplifiez-vous la micro;
11;Revue jeunesse;7623;Pomme d'api [texte imprimé];
12;Revue adulte;7519;Marianne [texte imprimé];
21;Revue adulte;6420;Les Inrockuptibles [texte imprimé];
22;Revue adulte;6269;Madame Figaro [texte imprimé];
23;Revue jeunesse;6245;Les P'tites sorcières [texte imprimé];
24;Revue jeunesse;6205;Je lis des histoires vraies [texte imprimé];
25;Revue adulte;6123;Géo [texte imprimé];
27;Revue adulte;5848;Psychologies [magazine] [texte imprimé] : comprendre, savoir, agir dans le monde d'aujourd'hui;
28;Revue adulte;5488;Courrier international [texte imprimé];
43;Revue adulte;3959;Sciences humaines [texte imprimé];
45;Revue ado;3760;Le Monde des ados [texte imprimé];
46;Revue jeunesse;3679;Toboggan [texte imprimé];
48;Revue adulte;3642;Sciences et avenir [texte imprimé];
50;Revue adulte;3496;L'Ordinateur individuel SVM;
55;Revue adulte;3139;Lire [texte imprimé] : Le magazine des livres;
71;Revue adulte;2530;Alternatives économiques [texte imprimé] : journal d'information critique sur l'actualité économique et sociale;
77;Revue adulte;2476;Modes et travaux [texte imprimé];
81;Revue jeunesse;2381;Science & vie découvertes [texte imprimé];
88;Revue jeunesse;2283;Mobiclic [ressource électronique] : le magazine multimédia des 7/12 ans;
90;Livre jeunesse;2272;Lili veut un téléphone portable;Saint-Mars, Dominique de
92;Revue ado;2246;Virgule [texte imprimé];
97;Bande dessinée jeunesse;2194;Max et Lili veulent éduquer leurs parents;Saint-Mars, Dominique de
107;Revue jeunesse;2057;Le Petit Léonard [texte imprimé] : le magazine des plus de 7 ans;
110;Bande dessinée jeunesse;1991;La salsa des saucisses [Texte imprimé];Cohen, Jacqueline
114;Bande dessinée jeunesse;1960;Lili a la passion du cheval;Saint-Mars, Dominique de
124;Bande dessinée jeunesse;1867;Ca roule ! [Texte imprimé];Cohen, Jacqueline
133;Revue jeunesse;1779;Tchô ! le megazine [texte imprimé];
149;Bande dessinée jeunesse;1674;Lili part en camp de vacances [Texte imprimé];Saint Mars, Dominique de
154;Livre jeunesse;1661;Max ne pense qu'au zizi;Saint-Mars, Dominique de
156;Bande dessinée jeunesse;1652;La copine de Lili a une maladie grave [Texte imprimé];Saint Mars, Dominique de
164;Bande dessinée jeunesse;1604;Max va à la peche avec son père [Texte imprimé];Saint-Mars, Dominique de
171;Bande dessinée jeunesse;1562;Lili va chez la psy [Texte imprimé];Saint-Mars, Dominique de
172;Bande dessinée jeunesse;1561;Max n'en fait qu'à sa tête [Texte imprimé];Saint-Mars, Dominique de
186;Bande dessinée jeunesse;1521;Lili est amoureuse [Texte imprimé];Saint-Mars, Dominique de
187;Bande dessinée jeunesse;1515;Max et Lili sont malades [Texte imprimé];Saint-Mars, Dominique de
199;Bande dessinée jeunesse;1477;Max et Lili ne font pas leurs devoirs [Texte imprimé];Saint-Mars, Dominique de
206;Revue adulte;1460;XXI [texte imprimé] : l'information grand format;
208;Bande dessinée jeunesse;1455;Max ne veut pas se laver [Texte imprimé];Saint-Mars, Dominique de
212;Bande dessinée jeunesse;1438;Les parents de Max et Lili se disputent [Texte imprimé];Saint Mars, Dominique de
213;Bande dessinée jeunesse;1433;Nina a été adoptée [Texte imprimé];Saint Mars, Dominique de
223;Revue jeunesse;1404;Abricot [texte imprimé];
224;Bande dessinée jeunesse;1401;Max se bagarre [Texte imprimé];Saint Mars, Dominique de
230;Bande dessinée ado;1381;Le miracle de la vie [Texte imprimé];Zep
231;Livre jeunesse;1376;Le cycle d'Anathos : la marque du destin;Sobral, Patrick
241;Bande dessinée jeunesse;1348;Max et Lili veulent des câlins [Texte imprimé];Saint Mars, Dominique de
252;Livre jeunesse;1316;La grande Schtroumpfette;Jost, Alain
255;Revue adulte;1306;Politis, [texte imprimé] : l'hebdomadaire citoyen du jeudi;
256;Bande dessinée jeunesse;1305;"Max raconte des ""bobards"" [Texte imprimé]";Saint Mars, Dominique de
266;Revue adulte;1255;Positif [texte imprimé] : revue mensuelle de cinéma;
273;Revue adulte;1247;Le Débat [texte imprimé] : histoire, politique, société;
