Rang;Type de document;Nombre de prêts;Titre ;Auteur
434.0;;834.0;Les Légendaires. 15. Amour mortel;Sobral, Patrick
452.0;;812.0;Cinquante nuances de Grey : roman;James, E. L.
454.0;Bande dessinée jeunesse >12 ans;809.0;Le cimetière des autobus;Neel, Julien
456.0;Bande dessinée jeunesse;807.0;Le King;Davis, Jim
460.0;Livre jeunesse;803.0;Max a triché;Saint Mars, Dominique de
474.0;;786.0;Némésis : roman;Roth, Philip
481.0;Bande dessinée jeunesse;774.0;Les schtroumpfs noirs;Peyo
484.0;Bande dessinée jeunesse >12 ans;771.0;Fairy Tail. 2;Mashima, Hiro
488.0;Bande dessinée jeunesse;770.0;Lou !. 6. L'âge de cristal;Neel, Julien
493.0;Nouveauté;765.0;Une femme aimée : roman;Makine, Andreï
494.0;Bande dessinée jeunesse;764.0;Main du futur;Sobral, Patrick
496.0;Livre de section jeunesse > 12 ans;762.0;L'embrasement;Collins, Suzanne
499.0;Bande dessinée jeunesse;760.0;Tom-Tom et ses idées explosives;Cohen, Jacqueline
504.0;Livre pour adulte;756.0;L'enfant allemand;Läckberg, Camilla
505.0;Bande dessinée jeunesse;755.0;Au coeur du maelström;Vehlmann, Fabien
509.0;Livre jeunesse;753.0;Les cairns rouges;Vehlmann, Fabien
4.0;Revue jeunesse;13731.0;Spirou : champion de la bonne humeur;
21.0;Revue pour adulte;6003.0;Les Inrockuptibles;
27.0;Revue jeunesse;5184.0;Images doc : un trésor d'images pour tout savoir;
28.0;Revue pour adulte;5137.0;Micro hebdo : simplifiez-vous la micro;
32.0;Revue pour adulte;4521.0;Sciences humaines;
42.0;Revue pour adulte;3981.0;Le Journal de la maison;
52.0;Revue jeunesse;3489.0;Histoires vraies;
59.0;Revue pour adulte;3036.0;Art et décoration : revue mensuelle d'art moderne...;
64.0;Revue pour adulte;2908.0;Causette : plus féminine du cerveau que du capiton;
70.0;Revue pour adulte;2767.0;Marie-Claire;
80.0;Revue pour adulte;2455.0;Fluide glacial;
82.0;Revue pour adulte;2390.0;Vocable : espagnol;
89.0;Revue pour adulte;2215.0;L'Ordinateur individuel SVM;
90.0;Livre jeunesse;2192.0;Max et Lili ont des pouvoirs magiques;Saint-Mars, Dominique de
104.0;Bande dessinée jeunesse;1953.0;Max et Lili veulent être gentils;Saint-Mars, Dominique de
106.0;Bande dessinée jeunesse;1920.0;Max et Lili veulent éduquer leurs parents;Saint-Mars, Dominique de
114.0;Revue jeunesse;1808.0;Picoti : pour les bébés poussins : à partir de 9 mois;
116.0;Bande dessinée jeunesse;1800.0;La salsa des saucisses;Cohen, Jacqueline
165.0;Bande dessinée jeunesse;1509.0;Tremblez, carcasses !;Cohen, Jacqueline
206.0;Bande dessinée jeunesse;1370.0;Les vacances infernales;Cohen, Jacqueline
217.0;Bande dessinée jeunesse;1344.0;Max est casse-cou;Saint Mars, Dominique de
288.0;Bande dessinée jeunesse;1108.0;Le devin;Goscinny, René
290.0;Revue pour ado;1092.0;Onze mondial;
300.0;Bande dessinée jeunesse;1056.0;L'élève dépasse le mètre;Coppée, Thierry
319.0;Bande dessinée jeunesse;1015.0;Kid Paddle. 12. Panik room;Midam
344.0;Bande dessinée pour adulte;963.0;Tintin et les Picaros;Hergé
346.0;Bande dessinée pour adulte;962.0;Le sceptre d'Ottokar;Hergé
349.0;Livre jeunesse;957.0;Bébés chouettes;Waddell, Martin
351.0;Nouveauté;956.0;L'herbe des nuits : roman;Modiano, Patrick
352.0;Bande dessinée pour adulte;951.0;L'oreille cassée;Hergé
358.0;Bande dessinée jeunesse >12 ans;941.0;Je serai toujours avec toi;Lyfoung, Patricia
359.0;Bande dessinée jeunesse;938.0;Max a une amoureuse;Saint Mars, Dominique de
361.0;Bande dessinée pour adulte;932.0;Le cadeau de César;Goscinny, René
363.0;Livre de section jeunesse > 12 ans;929.0;Max et Lili font du camping;Saint-Mars, Dominique de
367.0;;923.0;Peste & choléra : roman;Deville, Patrick
371.0;Enregistrement musical pour la jeunesse;914.0;Coco et le bébé;Du Bouchet, Paule
374.0;Bande dessinée jeunesse;909.0;Rodéo Blork;Midam
380.0;Bande dessinée pour adulte;900.0;Le tour de Gaule d'Astérix;Goscinny, René
381.0;Revue jeunesse;899.0;Cosinus : à partir du collège;
384.0;Bande dessinée pour adulte;894.0;Tintin au Tibet;Hergé
385.0;Bande dessinée jeunesse;893.0;La Schtroumpfette;Delporte, Yvan
