Rang;Type de document;Nombre de prêts;Titre ;Auteur
379.0;Bande dessinée jeunesse;901.0;Maman, je rigole !;Darasse
382.0;Bande dessinée pour adulte;897.0;On a marché sur la lune;Hergé
391.0;Bande dessinée jeunesse;890.0;Punis pour le meilleur et pour le pire;Godi, Bernard
400.0;Nouveauté;879.0;Les lisières;Adam, Olivier
404.0;Bande dessinée pour adulte;875.0;Le combat des chefs;Goscinny, René
414.0;Revue jeunesse;866.0;Shan hai jing = 上海经 : Ren sheng ji shi = 人生纪实 : gu shi qi wen = 故事奇闻;
418.0;Bande dessinée jeunesse;855.0;Boing ! Boing ! Bunk !;Midam
425.0;;846.0;Une fille, qui danse : roman;Barnes, Julian
426.0;Bande dessinée jeunesse;844.0;Mon meilleur ami;Verron, Laurent
432.0;Bande dessinée jeunesse;836.0;Le schtroumpfissime;Delporte, Yvan
436.0;Bande dessinée jeunesse;833.0;Le clan du requin;Gazzotti, Bruno
444.0;Revue jeunesse;820.0;I love english junior : spécial débutants;
458.0;Livre de section jeunesse > 12 ans;806.0;La révolte;Collins, Suzanne
466.0;Bande dessinée jeunesse;797.0;Les terres basses;Vehlmann, Fabien
471.0;Bande dessinée jeunesse >12 ans;787.0;J'irai où tu iras;Lyfoung, Patricia
473.0;Bande dessinée jeunesse;786.0;Histoires de schtroumpfs;Peyo
485.0;Nouveauté;771.0;La couleur des sentiments;Stockett, Kathryn
486.0;Bande dessinée jeunesse;770.0;Enquete d'amour;Pommaux, Yvan
492.0;Bande dessinée jeunesse;766.0;Chantier interdit;Pommaux, Yvan
498.0;Bande dessinée pour adulte;761.0;Tintin en Amérique;Hergé
514.0;Bande dessinée jeunesse;745.0;Dégâts à gogo !;Cohen, Jacqueline
525.0;Nouveauté;735.0;Si c'était à refaire : roman;Lévy, Marc
527.0;Nouveauté;733.0;Cyanure;Läckberg, Camilla
529.0;Bande dessinée jeunesse;732.0;Papa, je veux un cheval !;Laudec
532.0;Livre sonore jeunesse;727.0;Coco et les pompiers;Du Bouchet, Paule
533.0;Bande dessinée jeunesse;727.0;Fairy Tail. 25;Mashima, Hiro
538.0;Bande dessinée jeunesse >12 ans;717.0;Fairy Tail. 3;Mashima, Hiro
540.0;Bande dessinée jeunesse;717.0;Les trois baudets;Guibert, Emmanuel
552.0;Bande dessinée pour adulte;708.0;Fairy Tail. 22;Mashima, Hiro
554.0;Bande dessinée jeunesse >12 ans;707.0;Je savais que je te rencontrerais;Lyfoung, Patricia
556.0;Bande dessinée pour adulte;705.0;Objectif lune;Hergé
558.0;Revue pour adulte;703.0;Les Dossiers d'archéologie;
560.0;Livre jeunesse;702.0;Les vacances de Barbapapa;Tison, Annette
564.0;Bande dessinée jeunesse;695.0;Gâteau-surprise;Laudec
568.0;Livre jeunesse;691.0;L'élixir de jouvence;Gilson, François
569.0;Livre jeunesse;691.0;En ville avec Mimi;Cousins, Lucy
577.0;Bande dessinée jeunesse >12 ans;689.0;Rythme scolaire;Pica
582.0;Livre jeunesse;686.0;Le loto des nombrils;Guibert, Emmanuel
584.0;Bande dessinée jeunesse;685.0;Chi, une vie de chat. 1;Konami, K.
587.0;Livre jeunesse;684.0;Beaucoup de beaux bébés;Ellwand, David
590.0;Nouveauté;684.0;L'ange du matin;Arni Thorarinsson
599.0;Revue jeunesse;679.0;Cheval magazine;
611.0;Bande dessinée jeunesse >12 ans;670.0;Fairy Tail. 7;Mashima, Hiro
616.0;Bande dessinée jeunesse;668.0;Moi, gourmand ?;Davis, Jim
618.0;Nouveauté;667.0;Tout s'est bien passé;Bernheim, Emmanuèle
624.0;Livre jeunesse;662.0;Plouf !;Corentin, Philippe
625.0;Bande dessinée jeunesse;662.0;Mon oeil !;Guibert, Emmanuel
3.0;Revue jeunesse;18319.0;J'aime lire;
7.0;Revue jeunesse;10294.0;Les Belles histoires;
8.0;Revue jeunesse;9503.0;Popi : dès 1 an;
10.0;Revue jeunesse;7941.0;Pomme d'api;
17.0;Revue pour adulte;6898.0;L'Express;
33.0;Revue pour adulte;4387.0;La Science et la vie;
35.0;Revue pour adulte;4312.0;Femme actuelle;
38.0;Revue jeunesse;4157.0;Youpi : le journal des grands curieux de 3 à 7 ans;
43.0;Revue jeunesse;3973.0;J'apprends à lire;
44.0;Revue pour ado;3831.0;I love english;
46.0;Revue jeunesse;3694.0;Wapiti : un oeil futé sur la nature;
53.0;Revue pour adulte;3464.0;M, le nouveau magazine du Monde;
57.0;Revue jeunesse;3122.0;D lire : 9-13 ans;
61.0;Revue pour adulte;2978.0;Cuisine et vins de France;
63.0;Revue jeunesse;2948.0;Science & vie découvertes;
69.0;Revue pour adulte;2814.0;Lire : Le magazine des livres;
74.0;Revue jeunesse;2671.0;Moi je lis : j'enquête, je comprends;
79.0;Revue jeunesse;2536.0;Le Petit Léonard : le magazine des plus de 7 ans;
86.0;Revue pour adulte;2315.0;Alternatives économiques : journal d'information critique sur l'actualité économique et sociale;
92.0;Revue pour adulte;2162.0;Notre temps;
94.0;Revue pour adulte;2081.0;Jeune Afrique : hebdomadaire africain et international indépendant;
101.0;Bande dessinée jeunesse;1975.0;Increvables !;Cohen, Jacqueline
110.0;Bande dessinée jeunesse;1874.0;Au zoo, les zozos !;Cohen, Jacqueline
124.0;Revue jeunesse;1727.0;Toupie;
134.0;Bande dessinée jeunesse;1647.0;Lili a la passion du cheval;Saint-Mars, Dominique de
136.0;Bande dessinée jeunesse;1644.0;Max et Lili fêtent Noël en famille;Saint Mars, Dominique de
141.0;Livre jeunesse;1607.0;Max et Lili veulent tout tout de suite !;Saint Mars, Dominique de
145.0;Bande dessinée jeunesse;1571.0;Max n'aime pas lire;Saint Mars, Dominique de
147.0;Revue pour adulte;1568.0;Avantages;
152.0;Bande dessinée jeunesse;1546.0;Max et Lili aident les enfants du monde;Saint-Mars, Dominique de
155.0;Bande dessinée jeunesse;1539.0;Lili est amoureuse;Saint-Mars, Dominique de
157.0;Bande dessinée jeunesse;1532.0;Les mabouls déboulent !;Cohen, Jaqueline
162.0;Bande dessinée jeunesse;1511.0;Simon a deux maisons;Saint Mars, Dominique de
163.0;Bande dessinée jeunesse;1511.0;Max se trouve nul;Saint-Mars, Dominique de
166.0;Bande dessinée jeunesse;1507.0;Max aime les monstres;Saint-Mars, Dominique de
169.0;Livre jeunesse;1498.0;Max boude;Saint-Mars, Dominique de
171.0;Revue jeunesse;1492.0;"Cheval star ;";
172.0;Revue pour adulte;1490.0;Pleine vie : le magazine des couleurs du temps;
179.0;Bande dessinée jeunesse;1463.0;Lili se trouve moche;Saint Mars, Dominique de
181.0;Livre jeunesse;1446.0;Max ne pense qu'au zizi;Saint-Mars, Dominique de
183.0;Bande dessinée jeunesse;1437.0;Lili n'aime que les frites;Saint-Mars, Dominique de
187.0;Bande dessinée jeunesse >12 ans;1428.0;Mortebouse;Neel, Julien
191.0;Bande dessinée jeunesse;1414.0;Max et Lili veulent tout savoir sur les bébés;Saint Mars, Dominique de
193.0;Bande dessinée jeunesse;1408.0;Max est dans la lune;Saint-Mars, Dominique de
195.0;Bande dessinée jeunesse;1396.0;Salut, les zinzins !;Cohen, Jacqueline
196.0;Bande dessinée jeunesse;1395.0;Max se bagarre;Saint Mars, Dominique de
197.0;Bande dessinée jeunesse;1393.0;Lili a été suivie;Saint Mars, Dominique de
207.0;Bande dessinée jeunesse;1366.0;Emilie n'aime pas quand sa mère boit trop;Saint-Mars, Dominique de
209.0;Bande dessinée jeunesse;1364.0;Max et Lili se sont perdus;Saint Mars, Dominique de
215.0;Bande dessinée jeunesse;1352.0;Max décide de faire des efforts;Saint-Mars, Dominique de
216.0;Bande dessinée jeunesse;1351.0;Max et Lili ne font pas leurs devoirs;Saint-Mars, Dominique de
227.0;Bande dessinée jeunesse;1321.0;Le réveil du Kréa-Kaos;Sobral, Patrick
229.0;Bande dessinée jeunesse;1318.0;Tom-Tom et l'impossible Nana;Cohen, Jacqueline
234.0;Revue pour adulte;1288.0;The Economist;
238.0;;1275.0;Le sermon sur la chute de Rome;Ferrari, Jérôme
242.0;Bande dessinée jeunesse;1254.0;Lili découvre sa Mamie;Saint Mars, Dominique de
243.0;Bande dessinée jeunesse;1252.0;Max et Lili ont volé des bonbons;Saint Mars, Dominique de
249.0;Livre jeunesse;1228.0;Max et Koffi sont copains;Saint Mars, Dominique de
256.0;Bande dessinée jeunesse >12 ans;1208.0;Le miracle de la vie;Zep
265.0;Bande dessinée jeunesse;1182.0;Lili a peur des contrôles;Saint Mars, Dominique de
275.0;Bande dessinée jeunesse;1148.0;C'est pô juste...;Zep
276.0;Bande dessinée jeunesse >12 ans;1144.0;La loi du préau;Zep
277.0;Bande dessinée jeunesse;1142.0;Les schtroumpfs et le livre qui dit tout;Jost, Alain
281.0;Bande dessinée jeunesse;1130.0;La tribu des affreux;Cohen, Jacqueline
292.0;Bande dessinée jeunesse;1085.0;Les Cartables décollent;Cohen, Jacqueline
297.0;Bande dessinée jeunesse;1070.0;Max n'aime pas perdre;Saint Mars, Dominique de
315.0;Bande dessinée pour adulte;1021.0;L'odyssée d'Astérix;Uderzo, Albert
316.0;Bande dessinée pour adulte;1019.0;Le trésor de Rackham le Rouge;Hergé
320.0;Bande dessinée jeunesse;1014.0;Lâchez-moi le slip !;Zep
323.0;Bande dessinée jeunesse;1003.0;C'est magique !;Cohen, Jacqueline
329.0;Revue pour adulte;990.0;Politis, : l'hebdomadaire citoyen du jeudi;
330.0;Bande dessinée jeunesse;987.0;Waterminator;Midam
331.0;Bande dessinée jeunesse;984.0;L'école des vannes;Coppée, Thierry
332.0;Bande dessinée jeunesse >12 ans;984.0;Je veux que tu m'aimes !;Lyfoung, Patricia
348.0;;958.0;Ariol. 7. Le maître-chien;Guibert, Emmanuel
368.0;Bande dessinée jeunesse;922.0;Paddle... my name is Kid Paddle;Midam
369.0;Livre jeunesse;919.0;Qu'est-ce qu'il a ?;Laudec
372.0;Bande dessinée jeunesse;912.0;Astérix chez Rahàzade : ou le compte des mille et une heures;Uderzo, Albert
377.0;Revue pour adulte;904.0;Le Canard enchaîné : journal humoristique hebdomadaire;
383.0;Bande dessinée jeunesse;896.0;Peut mieux faire !;Godi, Bernard
386.0;Bande dessinée jeunesse >12 ans;893.0;J'irai voir Venise;Lyfoung, Patricia
388.0;Revue pour adulte;892.0;Charlie hebdo;
389.0;Bande dessinée pour adulte;891.0;Les bijoux de la Castafiore;Hergé
392.0;Livre jeunesse;890.0;A la maternelle avec Mimi;Cousins, Lucy
396.0;Bande dessinée jeunesse;886.0;Schtroumpf-les-Bains;Culliford, Thierry
401.0;Bande dessinée jeunesse >12 ans;878.0;Je crois que je t'aime;Lyfoung, Patricia
402.0;Bande dessinée jeunesse >12 ans;876.0;Oh, le salaud !;Zidrou
408.0;Bande dessinée jeunesse >12 ans;871.0;Duel de belles;Delaf
411.0;Livre jeunesse;869.0;Max et les Maximonstres;Sendak, Maurice
419.0;Bande dessinée jeunesse;853.0;Le retour de la momie qui pue qui tue;Midam
420.0;Livre pour adulte;851.0;A découvert;Coben, Harlan
422.0;;848.0;La sirène;Läckberg, Camilla
431.0;Bande dessinée jeunesse;837.0;Bienvenue au club !;Cohen, Jacqueline
435.0;Bande dessinée jeunesse;833.0;Un copieur sachant copier;Godi, Bernard
437.0;Bande dessinée jeunesse;832.0;Un amour de potache;Godi, Bernard
438.0;Nouveauté;831.0;1Q84. 1. Avril-juin;Murakami, Haruki
440.0;Livre jeunesse;830.0;Où est Charlie ? : la grande expo !;Handford, Martin
447.0;Bande dessinée jeunesse >12 ans;816.0;Diego;Darasse
448.0;Livre jeunesse;815.0;Max a la passion du foot;Saint Mars, Dominique de
451.0;Revue jeunesse;812.0;Vivre côté Paris;
510.0;Bande dessinée jeunesse;751.0;Enfin seuls !;Cauvin, Raoul
511.0;Nouveauté;751.0;Limonov;Carrère, Emmanuel
512.0;Livre jeunesse;747.0;Mon papa;Browne, Anthony
516.0;DVD-vidéo tous publics;741.0;Hugo Cabret;
531.0;Revue pour adulte;729.0;La Maison écologique : magazine pratique de l'habitat sain et des énergies renouvelables appliquées;
535.0;Bande dessinée jeunesse;721.0;Un parfum d'aventure;Poirier, Philippe
541.0;Bande dessinée jeunesse;715.0;Full métal casquette;Midam
557.0;Bande dessinée jeunesse;705.0;Aya de Yopougon. 6;Abouet, Marguerite
561.0;Bande dessinée jeunesse >12 ans;701.0;Naruto. 2;Kishimoto, Masashi
566.0;;693.0;Journal d'un corps;Pennac, Daniel
578.0;Bande dessinée jeunesse;689.0;Photo fatale;Pommaux, Yvan
579.0;Livre pour adulte;689.0;7 ans après...;Musso, Guillaume
581.0;Bande dessinée jeunesse;687.0;Les disparues d'Ouessant;Pommaux, Yvan
586.0;Bande dessinée jeunesse;684.0;C'est la fete !;Davis, Jim
588.0;Bande dessinée pour adulte;684.0;Aya de Yopougon. 5;Abouet, Marguerite
589.0;Bande dessinée jeunesse;684.0;Sardine de l'espace. 10. La reine de l'Afripe;Guibert, Emmanuel
593.0;Bande dessinée jeunesse;683.0;On revasse ?;Cauvin, Raoul
595.0;Revue pour adulte;682.0;Windows e internet pratique;
597.0;Revue jeunesse;681.0;J'AIME LIRE 2009;
670.0;Bande dessinée jeunesse;641.0;Fauve qui peut !;Kox, Daniel
677.0;Nouveauté;637.0;Atomka;Thilliez, Franck
679.0;Livre jeunesse;636.0;La famille Souris et la mare aux libellules;Iwamura, Kazuo
693.0;Bande dessinée jeunesse;630.0;Astérix en Corse;Goscinny, René
697.0;Revue pour adulte;629.0;D'A : d'architectures : le magazine professionnel de la création architecturale;
706.0;;626.0;Quai d'Orsay : chroniques diplomatiques. 2;Lanzac, Abel
713.0;Bande dessinée jeunesse >12 ans;623.0;Combien ?;Darasse
742.0;;614.0;Fleur de tonnerre : roman;Teulé, Jean
755.0;Livre jeunesse;608.0;Les trois brigands;Ungerer, Tomi
771.0;Bande dessinée jeunesse >12 ans;600.0;Gaston. 8;Franquin, André
777.0;Bande dessinée jeunesse >12 ans;598.0;Naruto. 6;Kishimito, Masashi
781.0;Bande dessinée jeunesse;597.0;L'étrange rendez-vous;Van Hamme, Jean
783.0;Livre de section jeunesse > 12 ans;597.0;La porte d'Orphée;Van Hamme, Jean
825.0;;579.0;Etrange suicide dans une Fiat rouge à faible kilométrage;Tyler, L. C.
826.0;Bande dessinée jeunesse;578.0;L'homme aux mouettes;Pommaux, Yvan
827.0;Bande dessinée pour adulte;578.0;Astérix chez les Helvètes;Goscinny, René
835.0;Bande dessinée jeunesse;576.0;La Belle et La Bête;Gilson, François
880.0;Nouveauté;559.0;Rue des voleurs;Énard, Mathias
885.0;Bande dessinée jeunesse;558.0;Zélie et compagnie. 9. Cinq sur cinq;Corbeyran
886.0;Bande dessinée jeunesse;557.0;Personne en vue;Didier, Anne
892.0;Bande dessinée jeunesse;555.0;Quel cirque !;Verron, Laurent
895.0;Livre jeunesse;553.0;Guillaume, l'apprenti sorcier;Ungerer, Tomi
898.0;Livre jeunesse;553.0;Où est Charlie ? A Hollywood;Handford, Martin
981.0;Bande dessinée jeunesse >12 ans;532.0;Naruto. 34;Kishimoto, Masashi
982.0;Livre jeunesse;532.0;Où est Charlie ?;Handford, Martin
992.0;Livre jeunesse;529.0;Où est Charlie ? Le voyage fantastique;Handford, Martin
994.0;Bande dessinée jeunesse >12 ans;528.0;Naruto. 40;Kishimoto, Masashi
601.0;Revue pour adulte;678.0;Le Monde diplomatique : journal des cercles diplomatiques et des grandes organisations internationales;
606.0;Livre pour adulte;673.0;Un héros;Herzog, Félicité
607.0;Bande dessinée jeunesse;672.0;Les secrets de l'univers;Guibert, Emmanuel
613.0;Bande dessinée pour adulte;669.0;Fairy Tail. 21;Mashima, Hiro
620.0;;664.0;L'appel de l'ange : roman;Musso, Guillaume
621.0;Bande dessinée pour adulte;663.0;Astérix en Hispanie;Goscinny, René
622.0;Livre pour adulte;663.0;Fairy Tail. 5;Mashima, Hiro
626.0;Bande dessinée jeunesse;661.0;Un peu, beaucoup, à la folie;Davis, Jim
638.0;Bande dessinée jeunesse;656.0;Toujours plus fort !;Cohen, Jacqueline
643.0;Nouveauté;654.0;La carte et le territoire : roman;Houellebecq, Michel
661.0;DVD-vidéo tous publics;647.0;Les aventures de Tintin - Le secret de la Licorne;
665.0;Bande dessinée jeunesse;645.0;Pépé se mouille;Laudec
716.0;Livre pour adulte;622.0;La princesse des glaces : roman;Läckberg, Camilla
722.0;Livre jeunesse;621.0;Le livre de la nuit;Berner, Rotraut Susanne
730.0;Livre jeunesse;618.0;Bonsoir lune;Brown, Margaret Wise
737.0;Nouveauté;615.0;Une semaine de vacances;Angot, Christine
753.0;Livre jeunesse;609.0;La tototte;Lindgren, Barbro
754.0;Bande dessinée jeunesse;608.0;Cygne d'étang;Laudec
758.0;Bande dessinée jeunesse;607.0;Sang pour sang;Gilson, François
766.0;Bande dessinée jeunesse;602.0;Trésor de génie;Turk
791.0;Livre jeunesse;592.0;Dans le loup;Ponti, Claude
793.0;Livre jeunesse;592.0;Le petit frère de Zoé;Cousins, Lucy
800.0;Bande dessinée jeunesse;588.0;L'imposteur du Colisée;Stilton, Geronimo
808.0;Livre jeunesse;585.0;La famille Souris prépare le nouvel an;Iwamura, Kazuo
810.0;Livre jeunesse;584.0;La nouvelle Zélie;Corbeyran, Eric
812.0;Nouveauté;584.0;Nous étions faits pour être heureux : roman;Olmi, Véronique
818.0;Bande dessinée jeunesse >12 ans;580.0;Naruto. 30;Kishimoto, Masashi
820.0;Livre jeunesse;580.0;La police;
821.0;Bande dessinée jeunesse >12 ans;579.0;Naruto. 27;Kishimoto, Masashi
838.0;Bande dessinée jeunesse;575.0;Pleins feux sur le smilodon;Pommaux, Yvan
840.0;Nouveauté;575.0;Le jeu des ombres;Erdrich, Louise
842.0;Bande dessinée jeunesse >12 ans;574.0;Gaston. 11;Franquin, André
848.0;Bande dessinée jeunesse;573.0;Astérix, la rose et le glaive;Uderzo, Albert
851.0;Livre jeunesse;572.0;La découverte de l'Amérique;Stilton, Geronimo
860.0;Bande dessinée jeunesse;567.0;Chocolats et coups fourrés;Garray, Pascal
864.0;Livre jeunesse;564.0;Une farce;Poussier, Audrey
865.0;Bande dessinée jeunesse;564.0;Génie du stop;Groot, Bob De
874.0;Livre pour adulte;562.0;Profanation : roman;Adler-Olsen, Jussi
899.0;Livre jeunesse;552.0;Le petit cochon tetu;Le Craver, Jean-Louis
901.0;Bande dessinée jeunesse;552.0;Y a-t-il un génie pour sauver la planète ?;Turk
902.0;;552.0;Sauve-toi, la vie t'appelle;Cyrulnik, Boris
904.0;Bande dessinée jeunesse >12 ans;551.0;Tempete sur Saint-Roch;Pommaux, Yvan
908.0;Bande dessinée jeunesse;551.0;Indien, mon frère;Cauvin, Raoul
917.0;Bande dessinée jeunesse;547.0;Emeutes à New York;Cauvin, Raoul
918.0;;547.0;Le guide du mauvais père. 1;Delisle, Guy
922.0;Bande dessinée jeunesse;546.0;Comme les doigts de la main;Corbeyran
925.0;Bande dessinée jeunesse;544.0;"Docteur génie et Mister ""aïe""";Groot, Bob De
930.0;Bande dessinée jeunesse;542.0;Va au panier;Davis, Jim
933.0;Livre jeunesse;542.0;Non !;Ashbé, Jeanne
937.0;Bande dessinée jeunesse;541.0;Philtres d'amour;Gilson, François
942.0;Bande dessinée jeunesse;541.0;Vole-mouton;Abouet, Marguerite
948.0;Bande dessinée jeunesse >12 ans;539.0;Naruto. 32;Kishimoto, Masashi
950.0;Livre jeunesse;539.0;C'est l'heure du bain, petit lion;Gomi, Taro
960.0;Bande dessinée jeunesse;537.0;C'est pas de ton âge !;Tome
476.0;Bande dessinée jeunesse;780.0;Les schtroumpfs olympiques;Peyo
478.0;Nouveauté;778.0;L'armée furieuse;Vargas, Fred
482.0;Bande dessinée pour adulte;773.0;Aya de Yopougon. 1;Abouet, Marguerite
487.0;;770.0;Où es-tu ?;Lyfoung, Patricia
489.0;Bande dessinée jeunesse;769.0;Au poil;Davis, Jim
490.0;Bande dessinée jeunesse;768.0;Lili ne veut plus aller à la piscine;Saint Mars, Dominique de
507.0;Bande dessinée jeunesse;754.0;Nelson. 12. Forcément coupable;Bertschy
508.0;Livre pour adulte;754.0;La ronde des mensonges : roman;George, Elizabeth
513.0;Bande dessinée jeunesse >12 ans;747.0;Fairy Tail. 1;Mashima, Hiro
543.0;Bande dessinée pour adulte;714.0;Aya de Yopougon. 3;Abouet, Marguerite
953.0;Bande dessinée jeunesse >12 ans;538.0;La grande promesse;Oda, Eiichiro
954.0;Livre jeunesse;538.0;Quel radis, dis donc !;Gay-Para, Praline
955.0;Livre jeunesse;538.0;Les trois petits cochons;Galdone, Paul
962.0;Bande dessinée jeunesse;537.0;Le secret d'Eglantine;Garray, Pascal
974.0;Bande dessinée pour adulte;534.0;Les ignorants : récit d'une initiation croisée;Davodeau, Etienne
979.0;Livre jeunesse;533.0;Le plus malin;Ramos, Mario
985.0;Bande dessinée jeunesse >12 ans;531.0;Davy back fight !!;Oda, Eiichiro
988.0;;531.0;Saratoga Woods : roman;George, Elizabeth
997.0;Bande dessinée jeunesse;527.0;La cousine Manga;Guibert, Emmanuel
502.0;;759.0;Heureux les heureux;Reza, Yasmina
518.0;Livre sonore jeunesse;740.0;Coco à l'école;Du Bouchet, Paule
526.0;Bande dessinée jeunesse;733.0;Le grand fossé;Uderzo, Albert
530.0;Bande dessinée jeunesse;730.0;Papa a de la classe;Laudec
534.0;Revue pour adulte;726.0;Valeurs actuelles;
537.0;Nouveauté;718.0;1Q84. 2. Juillet-septembre;Murakami, Haruki
547.0;Bande dessinée jeunesse >12 ans;712.0;A l'aube d'une grande aventure;Oda, Eiichiro
548.0;Bande dessinée jeunesse;711.0;Mystère au Pré-Chabert;Bouchié, Pascale
562.0;Nouveauté;699.0;Ne t'éloigne pas;Coben, Harlan
563.0;Bande dessinée jeunesse;695.0;J'ai fini !;Cauvin, Raoul
571.0;Nouveauté;691.0;La muraille de lave;Arnaldur Indridason
572.0;Bande dessinée jeunesse;690.0;La clandestine;Pommaux, Yvan
573.0;Bande dessinée jeunesse;690.0;Fairy Tail. 23;Mashima, Hiro
580.0;Bande dessinée jeunesse;689.0;Fairy Tail. 24;Mashima, Hiro
591.0;Bande dessinée jeunesse;683.0;Classe tous risques;Laudec
600.0;Livre jeunesse;678.0;Trois petits cochons;Faucher, Paul
604.0;Bande dessinée jeunesse >12 ans;674.0;Fairy Tail. 6;Mashima, Hiro
608.0;Bande dessinée jeunesse;672.0;Ma prof de calcul;Janry
609.0;Bande dessinée pour adulte;671.0;Le bouclier arverne;Goscinny, René
614.0;Bande dessinée pour adulte;669.0;Un amour de lapin;Davis, Jim
630.0;Nouveauté;660.0;De là, on voit la mer : roman;Besson, Philippe
632.0;Livre jeunesse;658.0;Une soupe au caillou;Vaugelade, Anaïs
649.0;Livre pour adulte;653.0;Le roman du mariage;Eugenides, Jeffrey
650.0;Bande dessinée jeunesse;652.0;Mélusine. 20. Envoûtement;Gilson, François
654.0;Nouveauté;650.0;Le Chinois;Mankell, Henning
655.0;Livre jeunesse;648.0;Petit-Bleu et Petit-Jaune : une histoire pour Pippo, Ann et tous les enfants;Lionni, Leo
664.0;Bande dessinée jeunesse;645.0;Main du futur;Sobral, Patrick
688.0;Livre jeunesse;632.0;La toute petite dame;Barton, Byron
692.0;DVD jeunesse;631.0;Les aventures des Barbapapa;
695.0;Bande dessinée jeunesse >12 ans;629.0;Gaston. 13;Franquin, André
696.0;Livre jeunesse;629.0;Roulé le loup !;Gay-Para, Praline
701.0;Bande dessinée jeunesse;628.0;Le sot à ski;Coppée, Thierry
705.0;Bande dessinée pour adulte;626.0;Fairy Tail. 16;Mashima, Hiro
727.0;Bande dessinée pour adulte;619.0;Astérix légionnaire;Goscinny, René
734.0;;617.0;Garde tes larmes pour plus tard;Saint-André, Alix de
738.0;Bande dessinée jeunesse;614.0;Crapule king size;Bertschy
741.0;;614.0;Ladivine : roman;NDiaye, Marie
745.0;Bande dessinée jeunesse >12 ans;612.0;Un chemin en pente raide;Oda, Eiichiro
751.0;Livre jeunesse;610.0;Ma maman;Browne, Anthony
763.0;Nouveauté;605.0;L'âge du doute : une enquête du commissaire Montalbano;Camilleri, Andrea
770.0;Nouveauté;601.0;Pour seul cortège : roman;Gaudé, Laurent
773.0;Bande dessinée jeunesse;600.0;"Tu ne s'ras jamais grand ! ; précédé de ""La marche du monde""";Tome
774.0;Bande dessinée jeunesse;599.0;Premières classes;Laudec
776.0;Nouveauté;599.0;Vert-de-gris;Kerr, Philip
782.0;Livre jeunesse;597.0;Tous en scène !;Corbeyran, Eric
796.0;Revue pour adulte;591.0;Espresso;
799.0;Bande dessinée jeunesse;588.0;Fairy Tail. 11;Mashima, Hiro
807.0;Bande dessinée pour adulte;585.0;Astérix en Hispanie;Goscinny, René
815.0;Livre pour adulte;582.0;Un lieu incertain;Vargas, Fred
831.0;Nouveauté;577.0;La première chose qu'on regarde : roman;Delacourt, Grégoire
832.0;Bande dessinée jeunesse;576.0;Quelle mouche le pique ?;Laudec
834.0;Livre jeunesse;576.0;Journal d'un chat assassin;Fine, Anne
837.0;Bande dessinée jeunesse >12 ans;575.0;Gaston. 4;Franquin, André
841.0;Nouveauté;575.0;Angle mort;Astier, Ingrid
843.0;Livre jeunesse;574.0;Le tunnel;Browne, Anthony
862.0;Bande dessinée jeunesse;565.0;Astérix légionnaire;Goscinny, René
863.0;Revue pour adulte;565.0;Mieux vivre votre argent;
866.0;Bande dessinée pour adulte;564.0;Polina;Vivès, Bastien
872.0;Bande dessinée jeunesse;562.0;Catastrophe naturelle;Bertschy
877.0;Livre jeunesse;561.0;tableau d'horreur;Pica
878.0;DVD jeunesse;560.0;Ratatouille;Bird, Brad
889.0;Bande dessinée jeunesse;556.0;Le lézard de l'ombre;Derib
890.0;Nouveauté;556.0;La soeur de l'ombre;MacDonald, Patricia J.
900.0;Bande dessinée pour adulte;552.0;La zizanie;Goscinny, René
903.0;Nouveauté;552.0;Nouilles froides à Pyongyang : récit de voyage;Coatalem, Jean-Luc
905.0;Bande dessinée jeunesse >12 ans;551.0;Sois forte;Oda, Eiichiro
914.0;Bande dessinée jeunesse;548.0;La bande à Bill;Verron, Laurent
921.0;Bande dessinée jeunesse;546.0;Les profs. 12. Grève party;Erroc
929.0;Enregistrement musical pour la jeunesse;543.0;Comptines pour chanter la savane;Hudrisier, Cécile
941.0;Livre pour adulte;541.0;Serment d'automne : roman;Bourdin, Françoise
743.0;Bande dessinée jeunesse;613.0;Ballet enchanté;Gilson, François
744.0;Revue pour adulte;613.0;Internet pratique;
749.0;Bande dessinée jeunesse;610.0;Le prophète;Nordmann, Patrick
752.0;Revue pour adulte;609.0;Today in english : le magazine qui donne du souffle à votre anglais;
760.0;Nouveauté;607.0;Tuer le père : roman;Nothomb, Amélie
765.0;Livre sonore jeunesse;603.0;Comptines pour chanter la ferme;Hudrisier, Cécile
767.0;Bande dessinée jeunesse;601.0;Classes de neige;Cauvin
769.0;Livre jeunesse;601.0;Un train passe;Crews, Donald
775.0;Bande dessinée jeunesse >12 ans;599.0;Fairy Tail. 10;Mashima, Hiro
786.0;Nouveauté;596.0;La femme au masque de chair;Leon, Donna
788.0;Bande dessinée jeunesse >12 ans;595.0;Naruto. 24;Kishimoto, Masashi
797.0;Bande dessinée jeunesse;590.0;Cyclone destroy;Bertschy
798.0;Bande dessinée jeunesse;589.0;La zizanie;Goscinny, René
9.0;Revue jeunesse;8532.0;Julie : vive les filles : de 8 à 12 ans;
16.0;Revue pour adulte;7001.0;60 millions de consommateurs : le magazine sans publicité;
19.0;Revue pour adulte;6474.0;Le Point;
20.0;Revue pour adulte;6132.0;Psychologies : comprendre, savoir, agir dans le monde d'aujourd'hui;
22.0;Revue pour adulte;5983.0;Géo;
