Rang;Type de document;Prêts;Titre;Auteur
158.0;Bande dessinée jeunesse;639.0;Les nombrils. 6. Un été trop mortel !;Delaf
163.0;Non spécifié;632.0;Soumission [Texte imprimé];Houellebecq, Michel
174.0;Bande dessinée jeunesse;616.0;Lili est désordre [Texte imprimé];Saint-Mars, Dominique de
176.0;Bande dessinée jeunesse;615.0;Chat méchant;Guibert, Emmanuel
177.0;Bande dessinée jeunesse;615.0;Jadina;Sobral, Patrick
178.0;Bande dessinée jeunesse;614.0;Anatole Latuile. 6. Pas de panique !;Didier, Anne
182.0;Bande dessinée ado;609.0;Je crois que je t'aime;Lyfoung, Patricia
188.0;Bande dessinée ado;602.0;J'irai où tu iras [Texte imprimé];Lyfoung, Patricia
193.0;Bande dessinée jeunesse;596.0;Un bonheur presque parfait [Texte imprimé];Dubuc, Maryse
199.0;Livre jeunesse;592.0;Me pardonneras-tu ? [Texte imprimé];Lyfoung, Patricia
214.0;Bande dessinée jeunesse;573.0;Ca déménage ! [Texte imprimé];Didier, Anne
229.0;Bande dessinée jeunesse;561.0;Lili veut protéger la nature [Texte imprimé];Saint-Mars, Dominique de
239.0;Bande dessinée jeunesse;553.0;Le cousin de Max et Lili se drogue [Texte imprimé];Saint-Mars, Dominique de
241.0;Nouveauté;551.0;Babylone [Texte imprimé];Reza, Yasmina
244.0;CD jeunesse;548.0;Coco et le bébé [Texte imprimé];Du Bouchet, Paule
248.0;Bande dessinée jeunesse;543.0;Lâchez-moi le slip ! [Texte imprimé];Zep
256.0;Bande dessinée adulte;540.0;Le domaine des dieux [Texte imprimé];Goscinny, René
260.0;Bande dessinée jeunesse;539.0;Pas de pitié pour les nazebroques ! [Texte imprimé];Tan
263.0;Bande dessinée adulte;536.0;Coke en stock [Texte imprimé];Hergé
269.0;Bande dessinée jeunesse;534.0;Kid Paddle. 12. Panik room;Midam
270.0;Nouveauté;533.0;Intimidation [Texte imprimé];Coben, Harlan
273.0;Bande dessinée jeunesse;530.0;Tout pour lui plaire ! [Texte imprimé];Cazenove, Christophe
276.0;Bande dessinée jeunesse;528.0;Seuls. 2. Le maître des couteaux [Texte imprimé];Gazzotti, Bruno
279.0;Bande dessinée jeunesse;526.0;Toujours dans les pattes ! [Texte imprimé];Cazenove, Christophe
285.0;Nouveauté;523.0;Message sans réponse [Texte imprimé];MacDonald, Patricia J.
288.0;Livre adulte;522.0;D'après une histoire vraie [Texte imprimé];Vigan, Delphine de
309.0;Livre jeunesse;509.0;Joyeux anniversaire !;Nakagawa, Chihiro
310.0;Livre adulte;508.0;Numéro 11 [Texte imprimé] : quelques contes sur la folie des temps;Coe, Jonathan
317.0;Bande dessinée jeunesse;505.0;La rentrée des claques [Texte imprimé];Mr Tan
320.0;Bande dessinée jeunesse;501.0;Les schtroumpfs et le livre qui dit tout [Texte imprimé];Jost, Alain
326.0;Livre sonore jeunesse;496.0;Le pyjama de Coco [Multimédia multisupport];Du Bouchet, Paule
329.0;Nouveauté;495.0;Les cahiers d'Esther [Texte imprimé] : histoire de mes 10 ans;Sattouf, Riad
335.0;Bande dessinée jeunesse;492.0;La soupe aux schtroumpfs [Texte imprimé];Peyo
339.0;Bande dessinée jeunesse;490.0;Astérix chez Rahàzade [Texte imprimé] : ou le compte des mille et une heures;Uderzo, Albert
353.0;Bande dessinée adulte;481.0;Objectif lune [Texte imprimé];Hergé
356.0;Livre adulte;479.0;La vengeance des mères [Texte imprimé];Fergus, Jim
363.0;Bande dessinée jeunesse;476.0;Toujours plus fort ! [Texte imprimé];Cohen, Jacqueline
375.0;Bande dessinée jeunesse;469.0;Tueurs à gags [Texte imprimé];Coppée, Thierry
384.0;Livre adulte;463.0;Un coeur sombre [Texte imprimé];Ellory, Roger Jon
393.0;Non spécifié;457.0;Dad. 1. Filles à papa;Nob
397.0;Nouveauté;454.0;Le dimanche des mères [Texte imprimé];Swift, Graham
398.0;Bande dessinée jeunesse;453.0;Fairy Tail [Texte imprimé]. 52;Mashima, Hiro
404.0;Nouveauté;450.0;Comment tu parles de ton père [Texte imprimé];Sfar, Joann
407.0;Bande dessinée jeunesse;447.0;Les sisters [Texte imprimé]. 10. Survitaminées !;Cazenove, Christophe
410.0;Livre sonore jeunesse;447.0;Mon imagier des comptines de la maternelle [Texte imprimé];Davois, Bernard
411.0;Numérique et multimédia jeunesse;446.0;Fairy Tail [Texte imprimé]. 53;Mashima, Hiro
419.0;Livre jeunesse;443.0;Bonsoir lune [Texte imprimé];Brown, Margaret Wise
421.0;Non spécifié;442.0;La légèreté [Texte imprimé];Meurisse, Catherine
432.0;Bande dessinée jeunesse;439.0;Le Roi des cancres [Texte imprimé];Godi, Bernard
437.0;Bande dessinée jeunesse;437.0;Waterminator [Texte imprimé];Midam
438.0;Bande dessinée jeunesse;437.0;Bisbille fait mouche;Guibert, Emmanuel
441.0;Bande dessinée jeunesse;436.0;Schtroumpf vert et vert schtroumpf [Texte imprimé];Peyo
450.0;Bande dessinée jeunesse;432.0;Tom-Tom et ses idées explosives [Texte imprimé];Cohen, Jacqueline
451.0;Livre jeunesse;432.0;Rodrick fait sa loi [Texte imprimé];Kinney, Jeff
459.0;Bande dessinée jeunesse;428.0;Les Schtroumpfs à Pilulit;Jost, Alain
460.0;Bande dessinée jeunesse;427.0;Ils sont partout ! [Texte imprimé];Didier, Anne
473.0;Bande dessinée jeunesse;423.0;La tribu des affreux [Texte imprimé];Cohen, Jacqueline
477.0;Livre jeunesse;422.0;Plouf ! [Texte imprimé];Corentin, Philippe
478.0;Livre jeunesse;422.0;Maman Quichon se fâche [Texte imprimé];Vaugelade, Anaïs
487.0;DVD tous publics;419.0;Mary Poppins [Images animées];Stevenson, Robert
5.0;Livre jeunesse;1074.0;Max et Lili en ont marre de se dépêcher [Texte imprimé];Saint-Mars, Dominique de
25.0;Livre jeunesse;904.0;Lili est stressée par la rentrée;Saint-Mars, Dominique de
26.0;Bande dessinée jeunesse;900.0;Lili fait des cauchemars [Texte imprimé];Saint-Mars, Dominique de
27.0;Bande dessinée jeunesse;893.0;Les fous du mercredi [Texte imprimé];Cohen, Jacqueline
36.0;Bande dessinée jeunesse;854.0;Lili veut faire une boum [Texte imprimé];Saint-Mars, Dominique de
38.0;Bande dessinée jeunesse;853.0;Max et Lili ne font pas leurs devoirs [Texte imprimé];Saint-Mars, Dominique de
41.0;Bande dessinée jeunesse;843.0;Idylles [Texte imprimé];Neel, Julien
50.0;Bande dessinée jeunesse;822.0;Le gardien [Texte imprimé];Sobral, Patrick
52.0;Bande dessinée jeunesse;819.0;Lou !. 6. L'âge de cristal [Texte imprimé];Neel, Julien
62.0;Bande dessinée jeunesse;802.0;Lili se dispute avec son frère [Texte imprimé];Saint-Mars, Dominique de
69.0;Bande dessinée jeunesse;795.0;Max et Lili veulent tout savoir sur les bébés [Texte imprimé];Saint-Mars, Dominique de
71.0;Bande dessinée jeunesse;793.0;Max et Lili aident les enfants du monde [Texte imprimé];Saint-Mars, Dominique de
75.0;Bande dessinée jeunesse;788.0;Ici Radio-casserole [Texte imprimé];Cohen, Jacqueline
92.0;Bande dessinée jeunesse;766.0;Lili se trouve moche [Texte imprimé];Saint-Mars, Dominique de
100.0;Bande dessinée jeunesse;749.0;Le cycle d'Anathos : renaissance;Sobral, Patrick
107.0;Bande dessinée jeunesse;734.0;Lili a été suivie [Texte imprimé];Saint-Mars, Dominique de
112.0;Bande dessinée jeunesse;730.0;Sang royal;Sobral, Patrick
115.0;Bande dessinée jeunesse;724.0;Emilie n'aime pas quand sa mère boit trop [Texte imprimé];Saint-Mars, Dominique de
126.0;Bande dessinée jeunesse;698.0;Lili se fait toujours gronder [Texte imprimé];Saint-Mars, Dominique de
128.0;Livre jeunesse;694.0;Max ne pense qu'au zizi;Saint-Mars, Dominique de
130.0;Bande dessinée jeunesse;689.0;Nina a été adoptée [Texte imprimé];Saint-Mars, Dominique de
131.0;Bande dessinée jeunesse;688.0;Lili découvre sa Mamie [Texte imprimé];Saint-Mars, Dominique de
140.0;Bande dessinée jeunesse;670.0;La fête à la grenouille [Texte imprimé];Guibert, Emmanuel
148.0;Bande dessinée jeunesse;660.0;Max fait pipi au lit [Texte imprimé];Saint-Mars, Dominique de
150.0;Bande dessinée jeunesse;657.0;Max n'aime pas l'école [Texte imprimé];Saint-Mars, Dominique de
151.0;Bande dessinée jeunesse;655.0;Alex est handicapé [Texte imprimé];Saint-Mars, Dominique de
160.0;Non spécifié;634.0;La rose écarlate. 7. Tu seras toujours à moi;Lyfoung, Patricia
167.0;Bande dessinée jeunesse;629.0;Lili ne veut pas se coucher [Texte imprimé];Saint-Mars, Dominique de
169.0;Bande dessinée jeunesse;627.0;Jérémy est maltraité [Texte imprimé];Saint-Mars, Dominique de
173.0;Bande dessinée adulte;616.0;Le trésor de Rackham le Rouge [Texte imprimé];Hergé
183.0;Livre jeunesse;609.0;Où est Pétula ?;Guibert, Emmanuel
186.0;CD jeunesse;604.0;Coco et son pot;Du Bouchet, Paule
187.0;Livre adulte;602.0;Ils m'ont menti [Texte imprimé];Pennac, Daniel
190.0;Livre jeunesse;600.0;Grosse colère [Texte imprimé];Allancé, Mireille d'
192.0;Bande dessinée adulte;598.0;Tintin et les Picaros [Texte imprimé];Hergé
196.0;Bande dessinée jeunesse;595.0;C'est magique ! [Texte imprimé];Cohen, Jacqueline
203.0;Bande dessinée jeunesse;584.0;C'est nikol crème !;Cazenove, Christophe
205.0;Bande dessinée adulte;582.0;La grande traversée [Texte imprimé];Goscinny, René
213.0;Bande dessinée jeunesse;575.0;Quelle chouchoute !;Maury, William
216.0;Bande dessinée jeunesse;571.0;Le devin [Texte imprimé];Goscinny, René
218.0;Bande dessinée jeunesse;570.0;Le clan du requin [Texte imprimé];Gazzotti, Bruno
219.0;Bande dessinée ado;568.0;Le miracle de la vie [Texte imprimé];Zep
223.0;Bande dessinée adulte;564.0;Le lotus bleu [Texte imprimé];Hergé
226.0;Bande dessinée adulte;563.0;Tintin au Tibet [Texte imprimé];Hergé
228.0;Bande dessinée ado;562.0;La loi du préau [Texte imprimé];Zep
231.0;Bande dessinée jeunesse;561.0;Le roi du chahut [Texte imprimé];Didier, Anne
235.0;Bande dessinée jeunesse;556.0;L'épreuve de farce [Texte imprimé];Coppée, Thierry
236.0;Nouveauté;554.0;L'autre qu'on adorait [Texte imprimé];Cusset, Catherine
240.0;Bande dessinée ado;552.0;Mes meilleurs copains [Texte imprimé];Zep
242.0;Livre jeunesse;551.0;Un air de famille [Texte imprimé];Cazenove
245.0;Bande dessinée adulte;547.0;Astérix et les Goths [Texte imprimé];Goscinny, René
247.0;Bande dessinée jeunesse;544.0;Qui a volé la Joconde ?;Stilton, Geronimo
251.0;Bande dessinée jeunesse;543.0;Un talent monstre ! [Texte imprimé];Tan
253.0;Bande dessinée jeunesse;542.0;Fatal attraction [Texte imprimé];Adam
254.0;Bande dessinée jeunesse;541.0;La quatrième dimension et demie;Vehlmann, Fabien
255.0;Bande dessinée adulte;540.0;L'étoile mystérieuse [Texte imprimé];Hergé
257.0;Bande dessinée jeunesse;539.0;Game over. 13. Toxic affair [Texte imprimé];Midam
277.0;Bande dessinée jeunesse;527.0;Les Schtroumpfs de l'ordre;
282.0;Bande dessinée jeunesse;524.0;Les nerfs à vif [Texte imprimé];Nob
284.0;Livre jeunesse;524.0;Mortelle Adèle. 5. Poussez-vous les moches;Tan
286.0;Bande dessinée jeunesse;523.0;Dégâts à gogo ! [Texte imprimé];Cohen, Jacqueline
287.0;Livre jeunesse;523.0;Les blagues de Toto. 7. La classe qui rit;Coppée, Thierry
294.0;Bande dessinée jeunesse;520.0;Watergate [Texte imprimé];Midam
296.0;Bande dessinée jeunesse;517.0;Max en a marre de sa soeur [Texte imprimé];Saint-Mars, Dominique de
299.0;Bande dessinée jeunesse;513.0;Les Schtroumpfs et l'arbre d'or;Culliford, Thierry
300.0;Livre adulte;512.0;La fille du train [Texte imprimé];Hawkins, Paula
302.0;Bande dessinée jeunesse;512.0;Mortelle Adèle [Texte imprimé]. T.10 . Choubidoulove;
312.0;Bande dessinée jeunesse;507.0;L'histoire drôle [Texte imprimé];Coppée, Thierry
327.0;Bande dessinée jeunesse;496.0;Ducobu, élève modèle;Zidrou
342.0;Bande dessinée jeunesse;488.0;Sous les cahiers, la plage [Texte imprimé];Coppée, Thierry
343.0;Bande dessinée jeunesse;488.0;Dark, j'adore ! [Texte imprimé];Midam
345.0;Livre jeunesse;487.0;Grand-mère sucre et grand-père chocolat [Texte imprimé];Bigot, Gigi
350.0;Livre adulte;484.0;La fleur de l'illusion [Texte imprimé];Higashino, Keigo
354.0;Bande dessinée jeunesse;481.0;Alien Chantilly [Texte imprimé];Midam
355.0;Livre jeunesse;481.0;La grande Schtroumpfette;Jost, Alain
357.0;Bande dessinée jeunesse;479.0;L'école des vannes [Texte imprimé];Coppée, Thierry
358.0;Bande dessinée adulte;479.0;Astérix légionnaire [Texte imprimé];Goscinny, René
359.0;Livre jeunesse;478.0;Max part en classe verte;Saint-Mars, Dominique de
367.0;Bande dessinée jeunesse;472.0;Dad. 2. Secrets de famille [Texte imprimé];Nob
370.0;Bande dessinée jeunesse;471.0;Système D [Texte imprimé];Zidrou
376.0;Bande dessinée ado;469.0;Diego;Darasse
380.0;Nouveauté;466.0;Le vieux saltimbanque [Texte imprimé];Harrison, Jim
382.0;Nouveauté;465.0;Mariachi Plaza [Texte imprimé];Connelly, Michael
388.0;Livre jeunesse;461.0;Max a une amoureuse [Texte imprimé];Saint-Mars, Dominique de
389.0;Nouveauté;459.0;Un Noël à New York [Texte imprimé];Perry, Anne
396.0;Nouveauté;455.0;L'homme qui tua Lucky Luke [Texte imprimé];Bonhomme, Matthieu
406.0;Nouveauté;449.0;Le dentier du maréchal, madame Volotinen et autres curiosités [Texte imprimé];Paasilinna, Arto
412.0;Livre jeunesse;446.0;Mortelle Adèle. 4. J'aime pas l'amour;Tan
417.0;Non spécifié;443.0;Le charme discret de l'intestin [Texte imprimé] : tout sur un organe mal aimé;Enders, Giulia
423.0;DVD jeunesse;442.0;Moi, moche et méchant [Images animées];
439.0;Bande dessinée jeunesse;436.0;Les Légendaires [Texte imprimé]. 19. World without : Artémus le Légendaire;Sobral, Patrick
445.0;Bande dessinée jeunesse;434.0;Docteur schtroumpf [Texte imprimé];Parthoens, Luc
454.0;Bande dessinée jeunesse;431.0;Mon meilleur ami;Verron, Laurent
456.0;Bande dessinée jeunesse;430.0;C'est dans sa nature [Texte imprimé];Cazenove, Christophe
462.0;Nouveauté;426.0;L'horizon à l'envers;Lévy, Marc
465.0;Nouveauté;424.0;Mémoire de fille;Ernaux, Annie
467.0;Bande dessinée ado;424.0;Naruto. 1 [Texte imprimé];Kishimoto, Masashi
470.0;Non spécifié;423.0;Moissons sanglantes [Texte imprimé] : roman;Robinson, Peter
476.0;Bande dessinée ado;422.0;Naruto. 6 [Texte imprimé];Kishimito, Masashi
485.0;Bande dessinée jeunesse;420.0;Tom-Tom le roi de la tambouille [Texte imprimé];Cohen, Jacqueline
4.0;Livre adulte;1100.0;Max et Lili cherchent leur métier [Texte imprimé];Saint-Mars, Dominique de
6.0;Livre jeunesse;1059.0;La copine de Lili n'a pas de papa [Texte imprimé];Saint-Mars, Dominique de
7.0;Livre jeunesse;1059.0;Max et Lili veulent être populaires [Texte imprimé];Saint-Mars, Dominique de
15.0;Livre adulte;985.0;Lili est harcelée à l'école;Saint-Mars, Dominique de
22.0;Bande dessinée jeunesse;913.0;Lili veut un petit chat [Texte imprimé];Saint-Mars, Dominique de
28.0;Bande dessinée jeunesse;890.0;Max et Lili fêtent Noël en famille [Texte imprimé];Saint-Mars, Dominique de
30.0;Bande dessinée jeunesse;878.0;Subliiiimes ! [Texte imprimé];Cohen, Jacqueline
31.0;Livre adulte;874.0;Lili a peur de la mort;Saint-Mars, Dominique de
33.0;Bande dessinée jeunesse;863.0;La pierre de Jovénia [Texte imprimé];Sobral, Patrick
40.0;Bande dessinée jeunesse;847.0;Les premiers de la casse [Texte imprimé];Cohen, Jacqueline
47.0;Bande dessinée jeunesse;830.0;Au zoo, les zozos ! [Texte imprimé];Cohen, Jacqueline
56.0;Bande dessinée jeunesse;809.0;Griffes et plumes [Texte imprimé];Sobral, Patrick
57.0;Livre jeunesse;806.0;Max et Lili veulent tout tout de suite ! [Texte imprimé];Saint-Mars, Dominique de
64.0;Bande dessinée jeunesse;800.0;Lili est amoureuse [Texte imprimé];Saint-Mars, Dominique de
74.0;Bande dessinée jeunesse;788.0;Lili a un chagrin d'amour [Texte imprimé];Saint-Mars, Dominique de
76.0;Livre jeunesse;788.0;Le cycle d'Anathos : la marque du destin;Sobral, Patrick
79.0;Bande dessinée jeunesse;787.0;Aube et crépuscule [Texte imprimé];Sobral, Patrick
81.0;Bande dessinée ado;783.0;Mortebouse [Texte imprimé];Neel, Julien
82.0;Bande dessinée jeunesse;782.0;Max décide de faire des efforts;Saint-Mars, Dominique de
83.0;Non spécifié;781.0;Les Légendaires. 15. Amour mortel;Sobral, Patrick
85.0;Nouveauté;778.0;Chanson douce [Texte imprimé];Slimani, Leïla
98.0;Non spécifié;757.0;Ariol. 7. Le maître-chien;Guibert, Emmanuel
118.0;Bande dessinée jeunesse;717.0;Emilie a déménagé [Texte imprimé];Saint-Mars, Dominique de
121.0;Bande dessinée jeunesse;712.0;Lili est malpolie [Texte imprimé];Saint-Mars, Dominique de
127.0;Bande dessinée jeunesse;696.0;Max va à l'hopital [Texte imprimé];Saint-Mars, Dominique de
134.0;Bande dessinée jeunesse;682.0;Grand-père est mort [Texte imprimé];Saint-Mars, Dominique de
137.0;Bande dessinée jeunesse;676.0;Max est dans la lune [Texte imprimé];Saint-Mars, Dominique de
138.0;Bande dessinée jeunesse;676.0;Lili a la passion du cheval;Saint-Mars, Dominique de
141.0;Livre jeunesse;669.0;Et que ça saute ! [Texte imprimé];Cohen, Jacqueline
152.0;Bande dessinée ado;654.0;Je veux que tu m'aimes ! [Texte imprimé];Lyfoung, Patricia
159.0;Livre jeunesse;634.0;Bébés chouettes [Texte imprimé];Waddell, Martin
162.0;Bande dessinée adulte;632.0;Obélix et compagnie [Texte imprimé];Goscinny, René
164.0;Bande dessinée ado;631.0;Nadia se marie [Texte imprimé];Zep
165.0;Bande dessinée jeunesse;631.0;Danaël;Sobral, Patrick
170.0;Bande dessinée jeunesse;625.0;Max se bagarre [Texte imprimé];Saint-Mars, Dominique de
172.0;Livre jeunesse;619.0;Les petits rats de l'Opéra [Texte imprimé];Guibert, Emmanuel
179.0;Bande dessinée jeunesse;611.0;Le sot à ski;Coppée, Thierry
180.0;Bande dessinée jeunesse;609.0;Lili a peur des contrôles [Texte imprimé];Saint-Mars, Dominique de
181.0;Bande dessinée jeunesse;609.0;Astérix et le chaudron [Texte imprimé];Goscinny, René
189.0;Bande dessinée jeunesse;602.0;Les parents de Zoé divorcent [Texte imprimé];Saint-Mars, Dominique de
191.0;Bande dessinée adulte;599.0;Astérix aux Jeux Olympiques [Texte imprimé];Goscinny, René
195.0;Bande dessinée adulte;595.0;Les 7 boules de cristal [Texte imprimé];Hergé
202.0;Livre jeunesse;589.0;Max et Koffi sont copains [Texte imprimé];Saint-Mars, Dominique de
208.0;Nouveauté;579.0;La Cheffe, roman d'une cuisinière [Texte imprimé];NDiaye, Marie
209.0;Bande dessinée jeunesse;579.0;Les terres basses;Vehlmann, Fabien
210.0;Bande dessinée adulte;577.0;Les bijoux de la Castafiore [Texte imprimé];Hergé
212.0;Bande dessinée jeunesse;575.0;Au coeur du maelström;Vehlmann, Fabien
217.0;Livre jeunesse;571.0;Où est Spot, mon petit chien ?;Hill, Eric
221.0;Bande dessinée jeunesse;567.0;Les nombrils. 3. Les liens de l'amitié;Delaf
224.0;Bande dessinée adulte;564.0;L'oreille cassée [Texte imprimé];Hergé
227.0;Livre sonore jeunesse;563.0;Coco à l'école;Du Bouchet, Paule
232.0;Bande dessinée jeunesse;560.0;Kid Paddle [Texte imprimé]. 14. Serial player;Midam
234.0;Bande dessinée adulte;558.0;On a marché sur la lune [Texte imprimé];Hergé
258.0;Bande dessinée jeunesse;539.0;Un couple d'enfer;Delaf
259.0;Livre jeunesse;539.0;Mortelle Adèle. 3. C'est pas ma faute !;Tan
261.0;Nouveauté;538.0;Comme une respiration... [Texte imprimé];Teulé, Jean
262.0;Bande dessinée adulte;537.0;Le sceptre d'Ottokar [Texte imprimé];Hergé
264.0;Bande dessinée adulte;536.0;Le tour de Gaule d'Astérix [Texte imprimé];Goscinny, René
265.0;Bande dessinée jeunesse;535.0;Ça va dégominer ! [Texte imprimé];Didier, Anne
280.0;Nouveauté;525.0;Danser au bord de l'abîme [Texte imprimé] : roman;Delacourt, Grégoire
289.0;Livre adulte;522.0;Le livre des Baltimore : roman;Dicker, Joël
291.0;DVD tous publics;521.0;Hugo Cabret [Images animées];
293.0;Bande dessinée jeunesse;520.0;Copain comme cochon;Guibert, Emmanuel
295.0;Non spécifié;518.0;Temps glaciaires [Texte imprimé];Vargas, Fred
297.0;Livre jeunesse;517.0;Sur le chantier [Texte imprimé];Barton, Byron
301.0;Non spécifié;512.0;Le dompteur de lions;Läckberg, Camilla
306.0;Bande dessinée jeunesse;511.0;Un enfant chez les schtroumpfs [Texte imprimé];Díaz Vizoso, Miguel
307.0;Bande dessinée jeunesse;511.0;Chi, une vie de chat. 1;Konami, K.
311.0;Livre jeunesse;508.0;Les cairns rouges [Texte imprimé];Vehlmann, Fabien
315.0;Bande dessinée jeunesse;506.0;Les arènes [Texte imprimé];Vehlmann, Fabien
319.0;Livre jeunesse;503.0;Le petit déjeuner de la famille Souris [Texte imprimé];Iwamura, Kazuo
322.0;CD jeunesse;498.0;Coco et les bulles de savon;Du Bouchet, Paule
330.0;Bande dessinée adulte;494.0;Tintin au Congo [Texte imprimé];Hergé
331.0;Bande dessinée jeunesse;493.0;L'oeuf et les schtroumpfs [Texte imprimé];Peyo
341.0;Nouveauté;488.0;Ecoutez nos défaites [Texte imprimé];Gaudé, Laurent
344.0;Livre jeunesse;488.0;Lili ne veut plus se montrer toute nue [Texte imprimé];Saint-Mars, Dominique de
347.0;Bande dessinée ado;486.0;Pour qui tu te prends ? [Texte imprimé];Delaf
352.0;Bande dessinée jeunesse;483.0;Maman, je rigole !;Darasse
361.0;Bande dessinée jeunesse;477.0;La galère d'Obélix [Texte imprimé];Uderzo, Albert
362.0;Bande dessinée jeunesse;476.0;Lou ! [Texte imprimé]. 7. La cabane;Neel, Julien
364.0;Bande dessinée jeunesse;475.0;L'as des pitres [Texte imprimé];Coppée, Thierry
366.0;Bande dessinée jeunesse;473.0;Quelle famille d'enfer !;Darasse
369.0;Bande dessinée adulte;472.0;Le cadeau de César [Texte imprimé];Goscinny, René
372.0;Bande dessinée jeunesse;470.0;Un copieur sachant copier [Texte imprimé];Godi, Bernard
374.0;Bande dessinée jeunesse;470.0;Une jolie vache;Guibert, Emmanuel
377.0;Livre jeunesse;468.0;Ca épate les filles... [Texte imprimé];Zep
385.0;Bande dessinée jeunesse;462.0;Naruto [Texte imprimé]. 71;Kishimoto, Masashi
387.0;Bande dessinée jeunesse;461.0;Tchô, monde cruel [Texte imprimé];Zep
392.0;Bande dessinée jeunesse;458.0;Le retour de la momie qui pue qui tue [Texte imprimé];Midam
395.0;Bande dessinée ado;456.0;Le spectre de la Bastille [Texte imprimé]. 2;Lyfoung, Patricia
405.0;Nouveauté;449.0;La succession [Texte imprimé];Dubois, Jean-Paul
408.0;Bande dessinée jeunesse;447.0;Rodéo Blork [Texte imprimé];Midam
