Rang;Type de document;Prêts;Titre;Auteur
8.0;Livre jeunesse;1052.0;Max et Lili vont chez papy et mamie [Texte imprimé];Saint-Mars, Dominique de
11.0;Bande dessinée jeunesse;1021.0;Max et Lili ont peur des images violentes [Texte imprimé];Saint-Mars, Dominique de
12.0;Bande dessinée jeunesse;1021.0;Max et Lili ont volé des bonbons [Texte imprimé];Saint-Mars, Dominique de
14.0;Livre jeunesse;999.0;Max boude;Saint-Mars, Dominique de
17.0;Bande dessinée jeunesse;963.0;Lili invite une copine en vacances [Texte imprimé];Saint-Mars, Dominique de
19.0;Bande dessinée jeunesse;940.0;Ben ça, alors ! [Texte imprimé];Cohen, Jacqueline
20.0;Bande dessinée jeunesse;939.0;Max et Lili veulent éduquer leurs parents;Saint-Mars, Dominique de
21.0;Livre ado;939.0;Max et Lili font du camping;Saint-Mars, Dominique de
29.0;Livre jeunesse;890.0;Lili trouve sa maîtresse méchante [Texte imprimé];Saint-Mars, Dominique de
35.0;Bande dessinée jeunesse;857.0;Lili est fâchée avec sa copine [Texte imprimé];Saint-Mars, Dominique de
37.0;Bande dessinée jeunesse;854.0;Trop, c'est trop ! [Texte imprimé];Cohen, Jacqueline
45.0;Bande dessinée jeunesse;835.0;Drôle de cirque ! [Texte imprimé];Cohen, Jacqueline
48.0;Bande dessinée jeunesse;826.0;Main du futur [Texte imprimé];Sobral, Patrick
53.0;Livre jeunesse;817.0;Harry Potter et l'enfant maudit [Texte imprimé] : parties un et deux;Thorne, Jack
59.0;Bande dessinée jeunesse;803.0;Ca roule ! [Texte imprimé];Cohen, Jacqueline
61.0;Bande dessinée jeunesse;802.0;Max ne veut pas se laver [Texte imprimé];Saint-Mars, Dominique de
63.0;Bande dessinée jeunesse;802.0;L'Alystory [Texte imprimé];Sobral, Patrick
65.0;Bande dessinée jeunesse;798.0;Tremblez, carcasses ! [Texte imprimé];Cohen, Jacqueline
67.0;Non spécifié;797.0;Les Légendaires. 14. L'héritage du mal;Sobral, Patrick
70.0;Bande dessinée jeunesse;795.0;Lili fait sa commandante;Saint-Mars, Dominique de
77.0;Bande dessinée jeunesse;787.0;Le chien de Max et Lili est mort [Texte imprimé];Saint-Mars, Dominique de
80.0;Bande dessinée jeunesse;785.0;Simon a deux maisons [Texte imprimé];Saint-Mars, Dominique de
86.0;Bande dessinée jeunesse;777.0;Lili veut etre une star [Texte imprimé];Saint-Mars, Dominique de
89.0;Bande dessinée jeunesse;773.0;Abracada...boum ! [Texte imprimé];Cohen, Jacqueline
93.0;Nouveauté;762.0;Le papyrus de César;Ferri, Jean-Yves
94.0;Livre jeunesse;762.0;Max et lili sont fans de marques [Texte imprimé];Saint-Mars, Dominique de
95.0;Bande dessinée jeunesse;761.0;Salut, les zinzins ! [Texte imprimé];Cohen, Jacqueline
105.0;Bande dessinée jeunesse;738.0;Les vacances infernales [Texte imprimé];Cohen, Jacqueline
106.0;Bande dessinée jeunesse;735.0;La maison de Max et Lili a été cambriolée [Texte imprimé];Saint-Mars, Dominique de
109.0;Bande dessinée jeunesse;733.0;Max est timide [Texte imprimé];Saint-Mars, Dominique de
113.0;Bande dessinée jeunesse;729.0;Le réveil du Kréa-Kaos [Texte imprimé];Sobral, Patrick
117.0;Bande dessinée jeunesse;722.0;Max et Lili ont peur [Texte imprimé];Saint-Mars, Dominique de
119.0;Bande dessinée jeunesse;715.0;Max se fait insulter à la récré [Texte imprimé];Saint-Mars, Dominique de
132.0;Livre jeunesse;684.0;Max adore jouer [Texte imprimé];Saint-Mars, Dominique de
133.0;Livre sonore jeunesse;684.0;L'anniversaire de Coco [Multimédia multisupport];Du Bouchet, Paule
142.0;Bande dessinée adulte;667.0;Une jeunesse au Moyen-Orient [Texte imprimé] : 1985-1987;Sattouf, Riad
145.0;Bande dessinée jeunesse;663.0;Lucien n'a pas de copains [Texte imprimé];Saint-Mars, Dominique de
146.0;Bande dessinée jeunesse;661.0;Les légendaires : Les origines. 03. Gryfenfer [Texte imprimé];Sobral, Patrick
147.0;Bande dessinée jeunesse;660.0;Titeuf [Texte imprimé]. 14. Bienvenue en adolescence !;Zep
154.0;Bande dessinée ado;645.0;J'irai voir Venise [Texte imprimé];Lyfoung, Patricia
